0.00.001.629 I srv  llama_server: initializing ...
0.00.239.822 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.120 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.244.701 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.01.712.475 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.02.740.061 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.02.740.078 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.02.740.096 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.02.740.103 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.02.740.110 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.02.740.132 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.02.740.139 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.740.145 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.740.152 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.02.740.158 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.02.740.165 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.02.740.174 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.02.740.183 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.02.740.197 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.02.740.216 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.16.464.259 I cmn          init: llama threadpool init, n_threads = 6
0.16.970.499 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.16.999.651 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.999.839 I srv  llama_server: model loaded
0.16.999.859 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.999.861 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.24.374.293 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.376.386 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.28.998.710 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1447, progress = 0.92, t =   4.62 s / 313.05 tokens per second
0.29.212.621 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1491, progress = 0.94, t =   4.84 s / 308.30 tokens per second
0.29.466.503 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1575, progress = 1.00, t =   5.09 s / 309.43 tokens per second
0.39.514.152 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  10.28 t/s, tg_3s =  10.39 t/s
0.39.613.262 I slot print_timing: id  0 | task 0 | prompt eval time =    5508.84 ms /  1579 tokens (    3.49 ms per token,   286.63 tokens per second)
0.39.613.274 I slot print_timing: id  0 | task 0 |        eval time =    9727.92 ms /   101 tokens (   97.28 ms per token,    10.28 tokens per second)
0.39.613.277 I slot print_timing: id  0 | task 0 |       total time =   15236.76 ms /  1680 tokens
0.39.613.291 I slot print_timing: id  0 | task 0 |    graphs reused =        104
0.39.659.539 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1679, truncated = 0
0.40.505.784 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.776 (> 0.100 thold), f_keep = 1.000
0.40.506.657 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.52.750.853 I slot print_timing: id  0 | task 107 | prompt eval time =    1757.48 ms /   484 tokens (    3.63 ms per token,   275.39 tokens per second)
0.52.750.887 I slot print_timing: id  0 | task 107 |        eval time =    9621.55 ms /   100 tokens (   97.19 ms per token,    10.29 tokens per second)
0.52.750.897 I slot print_timing: id  0 | task 107 |       total time =   11379.03 ms /   584 tokens
0.52.750.905 I slot print_timing: id  0 | task 107 |    graphs reused =        203
0.52.757.607 I slot      release: id  0 | task 107 | stop processing: n_tokens = 2262, truncated = 0
0.52.929.427 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 1.000
0.52.931.660 I slot launch_slot_: id  0 | task 210 | processing task, is_child = 0
1.03.091.818 I slot print_timing: id  0 | task 210 | n_gen =    100, tg =  10.27 t/s, tg_3s =  10.38 t/s
1.06.107.345 I slot print_timing: id  0 | task 210 | n_gen =    131, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.09.121.333 I slot print_timing: id  0 | task 210 | n_gen =    162, tg =  10.28 t/s, tg_3s =  10.29 t/s
