0.00.003.454 I srv  llama_server: initializing ...
0.00.889.713 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.894.771 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.899.872 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.57.872.895 I cmn          init: llama threadpool init, n_threads = 6
0.58.518.274 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.58.572.977 I srv  llama_server: model loaded
0.58.573.011 I srv  llama_server: listening on http://127.0.0.1:8080
0.58.573.013 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.09.337.912 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.09.341.998 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.14.821.635 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1423, progress = 0.92, t =   4.15 s / 342.71 tokens per second
1.14.984.345 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1490, progress = 0.96, t =   4.31 s / 345.31 tokens per second
1.15.226.299 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1551, progress = 1.00, t =   4.56 s / 340.37 tokens per second
1.23.623.548 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.27 t/s, tg_3s =  12.40 t/s
1.25.003.210 I slot print_timing: id  0 | task 1 | prompt eval time =    4887.04 ms /  1555 tokens (    3.14 ms per token,   318.19 tokens per second)
1.25.003.225 I slot print_timing: id  0 | task 1 |        eval time =    9446.72 ms /   117 tokens (   81.44 ms per token,    12.28 tokens per second)
1.25.003.228 I slot print_timing: id  0 | task 1 |       total time =   14333.76 ms /  1672 tokens
1.25.003.238 I slot print_timing: id  0 | task 1 |    graphs reused =        120
1.25.004.049 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1671, truncated = 0
1.26.055.770 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.665 (> 0.100 thold), f_keep = 1.000
1.26.056.590 I slot launch_slot_: id  0 | task 124 | processing task, is_child = 0
1.36.804.837 I slot print_timing: id  0 | task 124 | n_gen =    100, tg =  12.24 t/s, tg_3s =  12.36 t/s
1.39.107.175 I slot print_timing: id  0 | task 124 | prompt eval time =    2659.60 ms /   840 tokens (    3.17 ms per token,   315.84 tokens per second)
1.39.107.188 I slot print_timing: id  0 | task 124 |        eval time =   10390.91 ms /   128 tokens (   81.82 ms per token,    12.22 tokens per second)
1.39.107.191 I slot print_timing: id  0 | task 124 |       total time =   13050.51 ms /   968 tokens
1.39.107.193 I slot print_timing: id  0 | task 124 |    graphs reused =        247
1.39.107.633 I slot      release: id  0 | task 124 | stop processing: n_tokens = 2638, truncated = 0
1.39.222.187 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.547 (> 0.100 thold), f_keep = 1.000
1.39.222.782 I slot launch_slot_: id  0 | task 256 | processing task, is_child = 0
1.43.436.646 I slot print_timing: id  0 | task 256 | prompt processing, n_tokens =   1536, progress = 0.87, t =   4.21 s / 364.52 tokens per second
1.44.948.874 I slot print_timing: id  0 | task 256 | prompt processing, n_tokens =   2048, progress = 0.97, t =   5.73 s / 357.67 tokens per second
1.45.247.615 I slot print_timing: id  0 | task 256 | prompt processing, n_tokens =   2051, progress = 0.97, t =   6.02 s / 340.43 tokens per second
1.45.455.177 I slot print_timing: id  0 | task 256 | prompt processing, n_tokens =   2179, progress = 1.00, t =   6.23 s / 349.63 tokens per second
1.54.265.597 I slot print_timing: id  0 | task 256 | n_gen =    100, tg =  11.79 t/s, tg_3s =  11.91 t/s
1.57.298.350 I slot print_timing: id  0 | task 256 | n_gen =    136, tg =  11.81 t/s, tg_3s =  11.87 t/s
2.00.323.868 I slot print_timing: id  0 | task 256 | n_gen =    172, tg =  11.83 t/s, tg_3s =  11.90 t/s
2.03.363.838 I slot print_timing: id  0 | task 256 | n_gen =    208, tg =  11.83 t/s, tg_3s =  11.84 t/s
2.06.412.637 I slot print_timing: id  0 | task 256 | n_gen =    244, tg =  11.83 t/s, tg_3s =  11.81 t/s
2.09.457.203 I slot print_timing: id  0 | task 256 | n_gen =    280, tg =  11.83 t/s, tg_3s =  11.82 t/s
2.12.513.753 I slot print_timing: id  0 | task 256 | n_gen =    316, tg =  11.82 t/s, tg_3s =  11.78 t/s
2.15.559.275 I slot print_timing: id  0 | task 256 | n_gen =    352, tg =  11.82 t/s, tg_3s =  11.82 t/s
2.20.147.008 I slot print_timing: id  0 | task 256 | n_gen =    388, tg =  11.82 t/s, tg_3s =  11.80 t/s
2.23.201.808 I slot print_timing: id  0 | task 256 | n_gen =    424, tg =  11.82 t/s, tg_3s =  11.78 t/s
2.26.265.281 I slot print_timing: id  0 | task 256 | n_gen =    460, tg =  11.81 t/s, tg_3s =  11.75 t/s
2.29.338.272 I slot print_timing: id  0 | task 256 | n_gen =    496, tg =  11.80 t/s, tg_3s =  11.71 t/s
2.32.415.477 I slot print_timing: id  0 | task 256 | n_gen =    532, tg =  11.80 t/s, tg_3s =  11.70 t/s
2.35.425.394 I slot print_timing: id  0 | task 256 | n_gen =    567, tg =  11.79 t/s, tg_3s =  11.63 t/s
2.38.507.297 I slot print_timing: id  0 | task 256 | n_gen =    603, tg =  11.78 t/s, tg_3s =  11.68 t/s
2.41.587.300 I slot print_timing: id  0 | task 256 | n_gen =    639, tg =  11.78 t/s, tg_3s =  11.69 t/s
2.44.666.641 I slot print_timing: id  0 | task 256 | n_gen =    675, tg =  11.77 t/s, tg_3s =  11.69 t/s
2.47.741.525 I slot print_timing: id  0 | task 256 | n_gen =    711, tg =  11.77 t/s, tg_3s =  11.71 t/s
2.50.814.493 I slot print_timing: id  0 | task 256 | n_gen =    747, tg =  11.77 t/s, tg_3s =  11.72 t/s
2.53.847.056 I slot print_timing: id  0 | task 256 | n_gen =    783, tg =  11.77 t/s, tg_3s =  11.87 t/s
2.56.923.793 I slot print_timing: id  0 | task 256 | n_gen =    819, tg =  11.77 t/s, tg_3s =  11.70 t/s
2.59.989.573 I slot print_timing: id  0 | task 256 | n_gen =    855, tg =  11.77 t/s, tg_3s =  11.74 t/s
3.03.060.589 I slot print_timing: id  0 | task 256 | n_gen =    891, tg =  11.76 t/s, tg_3s =  11.72 t/s
3.06.135.358 I slot print_timing: id  0 | task 256 | n_gen =    927, tg =  11.76 t/s, tg_3s =  11.71 t/s
3.09.135.924 I slot print_timing: id  0 | task 256 | n_gen =    962, tg =  11.76 t/s, tg_3s =  11.66 t/s
3.12.138.833 I slot print_timing: id  0 | task 256 | n_gen =    997, tg =  11.75 t/s, tg_3s =  11.66 t/s
3.15.150.407 I slot print_timing: id  0 | task 256 | n_gen =   1032, tg =  11.75 t/s, tg_3s =  11.62 t/s
3.18.163.348 I slot print_timing: id  0 | task 256 | n_gen =   1067, tg =  11.75 t/s, tg_3s =  11.62 t/s
3.21.200.771 I slot print_timing: id  0 | task 256 | n_gen =   1102, tg =  11.74 t/s, tg_3s =  11.52 t/s
3.24.212.684 I slot print_timing: id  0 | task 256 | n_gen =   1137, tg =  11.73 t/s, tg_3s =  11.62 t/s
3.27.235.495 I slot print_timing: id  0 | task 256 | n_gen =   1172, tg =  11.73 t/s, tg_3s =  11.58 t/s
3.30.268.962 I slot print_timing: id  0 | task 256 | n_gen =   1207, tg =  11.72 t/s, tg_3s =  11.54 t/s
