0.00.003.607 I srv  llama_server: initializing ...
0.00.853.172 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.858.820 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.864.208 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.58.394.005 I cmn          init: llama threadpool init, n_threads = 6
0.59.000.695 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.59.048.448 I srv  llama_server: model loaded
0.59.048.477 I srv  llama_server: listening on http://127.0.0.1:8080
0.59.048.479 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.05.090.109 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.05.092.044 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.09.351.007 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1490, progress = 0.21, t =   4.26 s / 349.86 tokens per second
1.10.707.126 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2002, progress = 0.28, t =   5.61 s / 356.55 tokens per second
1.12.197.721 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2514, progress = 0.35, t =   7.11 s / 353.81 tokens per second
1.13.695.410 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3026, progress = 0.43, t =   8.60 s / 351.73 tokens per second
1.15.197.345 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3538, progress = 0.50, t =  10.11 s / 350.12 tokens per second
1.16.704.459 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4050, progress = 0.57, t =  11.61 s / 348.77 tokens per second
1.18.217.115 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4562, progress = 0.64, t =  13.12 s / 347.58 tokens per second
1.19.733.339 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5074, progress = 0.71, t =  14.64 s / 346.56 tokens per second
1.21.255.940 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5586, progress = 0.79, t =  16.16 s / 345.59 tokens per second
1.22.784.653 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6098, progress = 0.86, t =  17.69 s / 344.67 tokens per second
1.24.318.004 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6610, progress = 0.93, t =  19.23 s / 343.81 tokens per second
1.25.558.837 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6978, progress = 0.98, t =  20.47 s / 340.94 tokens per second
1.25.902.974 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7050, progress = 0.99, t =  20.81 s / 338.77 tokens per second
1.26.178.660 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7106, progress = 1.00, t =  21.09 s / 336.99 tokens per second
1.34.724.637 I slot print_timing: id  0 | task 1 | prompt eval time =   21407.43 ms /  7110 tokens (    3.01 ms per token,   332.13 tokens per second)
1.34.724.653 I slot print_timing: id  0 | task 1 |        eval time =    8225.06 ms /    98 tokens (   84.79 ms per token,    11.79 tokens per second)
1.34.724.656 I slot print_timing: id  0 | task 1 |       total time =   29632.49 ms /  7208 tokens
