0.00.004.042 I srv  llama_server: initializing ...
0.00.877.176 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.883.011 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.888.490 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.02.521.751 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.58.002.582 I cmn          init: llama threadpool init, n_threads = 6
0.58.635.705 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.58.684.234 I srv  llama_server: model loaded
0.58.684.254 I srv  llama_server: listening on http://127.0.0.1:8080
0.58.684.255 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.04.840.670 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.04.847.824 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.09.078.068 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1491, progress = 0.23, t =   4.23 s / 352.54 tokens per second
1.10.428.360 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2003, progress = 0.30, t =   5.58 s / 358.99 tokens per second
1.11.912.764 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2515, progress = 0.38, t =   7.06 s / 356.03 tokens per second
1.13.403.911 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3027, progress = 0.46, t =   8.56 s / 353.82 tokens per second
1.14.901.146 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3539, progress = 0.54, t =  10.05 s / 352.06 tokens per second
1.16.405.111 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4051, progress = 0.61, t =  11.56 s / 350.54 tokens per second
1.17.914.759 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4563, progress = 0.69, t =  13.07 s / 349.23 tokens per second
1.19.428.830 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5075, progress = 0.77, t =  14.58 s / 348.08 tokens per second
1.20.950.306 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5587, progress = 0.85, t =  16.10 s / 346.99 tokens per second
1.22.472.919 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6099, progress = 0.93, t =  17.62 s / 346.06 tokens per second
1.23.290.636 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6460, progress = 0.98, t =  18.86 s / 342.60 tokens per second
1.23.631.871 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6532, progress = 0.99, t =  19.20 s / 340.26 tokens per second
