0.00.003.619 I srv  llama_server: initializing ...
0.00.858.931 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.864.637 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.870.022 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.56.468.485 I cmn          init: llama threadpool init, n_threads = 6
0.57.079.965 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.57.129.166 I srv  llama_server: model loaded
0.57.129.191 I srv  llama_server: listening on http://127.0.0.1:8080
0.57.129.193 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.06.761.015 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.06.762.713 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.10.940.461 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1451, progress = 0.92, t =   4.18 s / 347.32 tokens per second
1.11.139.962 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1495, progress = 0.94, t =   4.38 s / 341.55 tokens per second
1.11.354.432 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1579, progress = 1.00, t =   4.59 s / 343.89 tokens per second
1.16.997.735 I slot print_timing: id  0 | task 0 | prompt eval time =    4959.38 ms /  1583 tokens (    3.13 ms per token,   319.19 tokens per second)
1.16.997.750 I slot print_timing: id  0 | task 0 |        eval time =    5275.55 ms /    65 tokens (   82.43 ms per token,    12.13 tokens per second)
1.16.997.753 I slot print_timing: id  0 | task 0 |       total time =   10234.93 ms /  1648 tokens
1.16.997.763 I slot print_timing: id  0 | task 0 |    graphs reused =         68
1.16.998.225 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1647, truncated = 0
1.17.613.198 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.775 (> 0.100 thold), f_keep = 1.000
1.17.614.022 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
1.27.312.031 I slot print_timing: id  0 | task 71 | n_gen =    100, tg =  12.19 t/s, tg_3s =  12.31 t/s
1.30.346.124 I slot print_timing: id  0 | task 71 | n_gen =    137, tg =  12.19 t/s, tg_3s =  12.19 t/s
1.33.376.070 I slot print_timing: id  0 | task 71 | n_gen =    174, tg =  12.19 t/s, tg_3s =  12.21 t/s
1.36.418.363 I slot print_timing: id  0 | task 71 | n_gen =    211, tg =  12.19 t/s, tg_3s =  12.16 t/s
1.39.451.683 I slot print_timing: id  0 | task 71 | n_gen =    248, tg =  12.19 t/s, tg_3s =  12.20 t/s
1.42.495.188 I slot print_timing: id  0 | task 71 | n_gen =    285, tg =  12.19 t/s, tg_3s =  12.16 t/s
1.45.550.833 I slot print_timing: id  0 | task 71 | n_gen =    322, tg =  12.18 t/s, tg_3s =  12.11 t/s
1.48.622.910 I slot print_timing: id  0 | task 71 | n_gen =    359, tg =  12.16 t/s, tg_3s =  12.04 t/s
1.49.952.632 I slot print_timing: id  0 | task 71 | prompt eval time =    1575.70 ms /   477 tokens (    3.30 ms per token,   302.72 tokens per second)
1.49.952.646 I slot print_timing: id  0 | task 71 |        eval time =   30762.84 ms /   375 tokens (   82.25 ms per token,    12.16 tokens per second)
1.49.952.649 I slot print_timing: id  0 | task 71 |       total time =   32338.54 ms /   852 tokens
1.49.952.651 I slot print_timing: id  0 | task 71 |    graphs reused =        440
1.49.953.046 I slot      release: id  0 | task 71 | stop processing: n_tokens = 2498, truncated = 0
1.50.044.965 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.907 (> 0.100 thold), f_keep = 1.000
1.50.045.785 I slot launch_slot_: id  0 | task 449 | processing task, is_child = 0
1.59.297.202 I slot print_timing: id  0 | task 449 | n_gen =    100, tg =  11.84 t/s, tg_3s =  11.96 t/s
2.02.338.938 I slot print_timing: id  0 | task 449 | n_gen =    136, tg =  11.84 t/s, tg_3s =  11.84 t/s
2.05.392.687 I slot print_timing: id  0 | task 449 | n_gen =    172, tg =  11.83 t/s, tg_3s =  11.79 t/s
2.08.448.503 I slot print_timing: id  0 | task 449 | n_gen =    208, tg =  11.82 t/s, tg_3s =  11.78 t/s
2.10.996.098 I slot print_timing: id  0 | task 449 | prompt eval time =     892.95 ms /   255 tokens (    3.50 ms per token,   285.57 tokens per second)
2.10.996.111 I slot print_timing: id  0 | task 449 |        eval time =   20057.29 ms /   238 tokens (   84.63 ms per token,    11.82 tokens per second)
2.10.996.114 I slot print_timing: id  0 | task 449 |       total time =   20950.24 ms /   493 tokens
2.10.996.117 I slot print_timing: id  0 | task 449 |    graphs reused =        675
2.10.996.600 I slot      release: id  0 | task 449 | stop processing: n_tokens = 2990, truncated = 0
2.13.864.024 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.541 (> 0.100 thold), f_keep = 0.529
2.13.864.588 I slot launch_slot_: id  0 | task 691 | processing task, is_child = 0
2.17.358.127 I slot print_timing: id  0 | task 691 | prompt processing, n_tokens =   1212, progress = 0.95, t =   3.49 s / 346.93 tokens per second
2.17.608.766 I slot print_timing: id  0 | task 691 | prompt processing, n_tokens =   1291, progress = 0.98, t =   3.74 s / 344.81 tokens per second
2.17.872.444 I slot print_timing: id  0 | task 691 | prompt processing, n_tokens =   1340, progress = 1.00, t =   4.01 s / 334.35 tokens per second
2.23.291.757 I slot print_timing: id  0 | task 691 | prompt eval time =    4295.16 ms /  1344 tokens (    3.20 ms per token,   312.91 tokens per second)
2.23.291.771 I slot print_timing: id  0 | task 691 |        eval time =    5131.94 ms /    61 tokens (   85.53 ms per token,    11.69 tokens per second)
2.23.291.774 I slot print_timing: id  0 | task 691 |       total time =    9427.10 ms /  1405 tokens
2.23.291.777 I slot print_timing: id  0 | task 691 |    graphs reused =        738
2.23.292.255 I slot      release: id  0 | task 691 | stop processing: n_tokens = 2983, truncated = 0
2.23.411.541 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
2.23.412.236 I slot launch_slot_: id  0 | task 758 | processing task, is_child = 0
2.27.927.046 I slot print_timing: id  0 | task 758 | prompt eval time =     327.34 ms /    23 tokens (   14.23 ms per token,    70.26 tokens per second)
2.27.927.060 I slot print_timing: id  0 | task 758 |        eval time =    4187.40 ms /    50 tokens (   85.46 ms per token,    11.70 tokens per second)
2.27.927.062 I slot print_timing: id  0 | task 758 |       total time =    4514.74 ms /    73 tokens
2.27.927.065 I slot print_timing: id  0 | task 758 |    graphs reused =        786
2.27.927.558 I slot      release: id  0 | task 758 | stop processing: n_tokens = 3055, truncated = 0
2.28.024.399 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
2.28.025.075 I slot launch_slot_: id  0 | task 810 | processing task, is_child = 0
2.36.927.664 I slot print_timing: id  0 | task 810 | n_gen =    100, tg =  11.57 t/s, tg_3s =  11.69 t/s
2.38.716.656 I slot print_timing: id  0 | task 810 | prompt eval time =     349.09 ms /    36 tokens (    9.70 ms per token,   103.12 tokens per second)
2.38.716.669 I slot print_timing: id  0 | task 810 |        eval time =   10342.42 ms /   121 tokens (   86.19 ms per token,    11.60 tokens per second)
2.38.716.672 I slot print_timing: id  0 | task 810 |       total time =   10691.52 ms /   157 tokens
2.38.716.676 I slot print_timing: id  0 | task 810 |    graphs reused =        905
2.38.717.170 I slot      release: id  0 | task 810 | stop processing: n_tokens = 3211, truncated = 0
2.38.822.240 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.814 (> 0.100 thold), f_keep = 0.986
2.38.822.870 I slot launch_slot_: id  0 | task 933 | processing task, is_child = 0
2.50.360.376 I slot print_timing: id  0 | task 933 | n_gen =    100, tg =  11.75 t/s, tg_3s =  11.87 t/s
2.53.417.437 I slot print_timing: id  0 | task 933 | n_gen =    136, tg =  11.76 t/s, tg_3s =  11.78 t/s
2.56.478.338 I slot print_timing: id  0 | task 933 | n_gen =    172, tg =  11.76 t/s, tg_3s =  11.76 t/s
2.59.549.194 I slot print_timing: id  0 | task 933 | n_gen =    208, tg =  11.75 t/s, tg_3s =  11.72 t/s
3.02.602.655 I slot print_timing: id  0 | task 933 | n_gen =    244, tg =  11.76 t/s, tg_3s =  11.79 t/s
3.05.632.959 I slot print_timing: id  0 | task 933 | n_gen =    280, tg =  11.77 t/s, tg_3s =  11.88 t/s
3.08.674.864 I slot print_timing: id  0 | task 933 | n_gen =    316, tg =  11.78 t/s, tg_3s =  11.83 t/s
3.11.708.405 I slot print_timing: id  0 | task 933 | n_gen =    352, tg =  11.79 t/s, tg_3s =  11.87 t/s
3.14.749.509 I slot print_timing: id  0 | task 933 | n_gen =    388, tg =  11.79 t/s, tg_3s =  11.84 t/s
3.17.794.197 I slot print_timing: id  0 | task 933 | n_gen =    424, tg =  11.80 t/s, tg_3s =  11.82 t/s
3.20.844.295 I slot print_timing: id  0 | task 933 | n_gen =    460, tg =  11.80 t/s, tg_3s =  11.80 t/s
3.23.844.681 I slot print_timing: id  0 | task 933 | n_gen =    495, tg =  11.79 t/s, tg_3s =  11.67 t/s
3.24.016.982 I slot print_timing: id  0 | task 933 | prompt eval time =    2554.39 ms /   802 tokens (    3.19 ms per token,   313.97 tokens per second)
3.24.016.994 I slot print_timing: id  0 | task 933 |        eval time =   42081.92 ms /   497 tokens (   84.84 ms per token,    11.79 tokens per second)
3.24.016.998 I slot print_timing: id  0 | task 933 |       total time =   44636.31 ms /  1299 tokens
3.24.017.001 I slot print_timing: id  0 | task 933 |    graphs reused =       1400
3.24.017.576 I slot      release: id  0 | task 933 | stop processing: n_tokens = 4385, truncated = 0
3.24.159.477 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
3.24.160.220 I slot launch_slot_: id  0 | task 1434 | processing task, is_child = 0
3.32.178.393 I slot print_timing: id  0 | task 1434 | prompt eval time =     321.84 ms /    28 tokens (   11.49 ms per token,    87.00 tokens per second)
3.32.178.404 I slot print_timing: id  0 | task 1434 |        eval time =    7696.26 ms /    91 tokens (   85.51 ms per token,    11.69 tokens per second)
3.32.178.407 I slot print_timing: id  0 | task 1434 |       total time =    8018.11 ms /   119 tokens
3.32.178.410 I slot print_timing: id  0 | task 1434 |    graphs reused =       1489
3.32.179.034 I slot      release: id  0 | task 1434 | stop processing: n_tokens = 4503, truncated = 0
3.33.094.894 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.968 (> 0.100 thold), f_keep = 1.000
3.33.095.757 I slot launch_slot_: id  0 | task 1527 | processing task, is_child = 0
3.42.424.174 I slot print_timing: id  0 | task 1527 | n_gen =    100, tg =  11.44 t/s, tg_3s =  11.56 t/s
3.45.477.856 I slot print_timing: id  0 | task 1527 | n_gen =    135, tg =  11.45 t/s, tg_3s =  11.46 t/s
3.48.534.003 I slot print_timing: id  0 | task 1527 | n_gen =    170, tg =  11.45 t/s, tg_3s =  11.45 t/s
3.51.595.833 I slot print_timing: id  0 | task 1527 | n_gen =    205, tg =  11.45 t/s, tg_3s =  11.43 t/s
3.54.596.985 I slot print_timing: id  0 | task 1527 | n_gen =    239, tg =  11.43 t/s, tg_3s =  11.33 t/s
3.57.681.473 I slot print_timing: id  0 | task 1527 | n_gen =    274, tg =  11.42 t/s, tg_3s =  11.35 t/s
4.00.763.326 I slot print_timing: id  0 | task 1527 | n_gen =    309, tg =  11.41 t/s, tg_3s =  11.36 t/s
4.03.768.191 I slot print_timing: id  0 | task 1527 | n_gen =    343, tg =  11.40 t/s, tg_3s =  11.31 t/s
4.06.778.913 I slot print_timing: id  0 | task 1527 | n_gen =    377, tg =  11.39 t/s, tg_3s =  11.29 t/s
4.09.793.931 I slot print_timing: id  0 | task 1527 | n_gen =    411, tg =  11.38 t/s, tg_3s =  11.28 t/s
4.12.801.376 I slot print_timing: id  0 | task 1527 | n_gen =    445, tg =  11.38 t/s, tg_3s =  11.31 t/s
4.15.825.967 I slot print_timing: id  0 | task 1527 | n_gen =    479, tg =  11.37 t/s, tg_3s =  11.24 t/s
4.16.091.802 I slot print_timing: id  0 | task 1527 | prompt eval time =     676.24 ms /   147 tokens (    4.60 ms per token,   217.38 tokens per second)
4.16.091.815 I slot print_timing: id  0 | task 1527 |        eval time =   42319.72 ms /   482 tokens (   87.98 ms per token,    11.37 tokens per second)
4.16.091.817 I slot print_timing: id  0 | task 1527 |       total time =   42995.96 ms /   629 tokens
4.16.091.820 I slot print_timing: id  0 | task 1527 |    graphs reused =       1967
4.16.092.519 I slot      release: id  0 | task 1527 | stop processing: n_tokens = 5131, truncated = 0
4.20.260.131 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.654 (> 0.100 thold), f_keep = 0.569
4.20.260.747 I slot launch_slot_: id  0 | task 2013 | processing task, is_child = 0
