# Regenerated 2026-09-25 with suite/tools/oom_exposure.py from PR #14 (70ffa7a),
# replacing the first version, which read 11 kills as 0 after an overnight suspend
# (see review-J1.md). Same persistent journal, same runs.
# OOM kills of llama-server per run (11 kills found)
# clock segment 2026-09-24 19:13 +0200 .. 2026-09-24 23:53 +0200  (boot 65397cf4, running)  kills: 0
# clock segment 2026-09-25 07:27 +0200 .. 2026-09-25 23:26 +0200  (boot 65397cf4, running)  kills: 11
# persistent journal: True
# 10 of 12 runs overlapped a kill; 0 unknown
j-k2h37-r1-a3                      oom_kills=0        start=2026-09-25T15:02:23+02:00
j-k2h37-r2-a3                      oom_kills=1        start=2026-09-25T16:05:26+02:00
j-k2h37-r3-a3                      oom_kills=1        start=2026-09-25T18:15:36+02:00
j-ornith15-65k-r1-a3               oom_kills=1        start=2026-09-25T20:10:23+02:00
j-ornith15-65k-r2-a3               oom_kills=1        start=2026-09-25T20:30:30+02:00
j-ornith15-65k-r3-a3               oom_kills=1        start=2026-09-25T20:55:07+02:00
j-k2h37-r1-a4-32k                  oom_kills=1        start=2026-09-25T15:15:36+02:00
j-k2h37-r2-a4-32k                  oom_kills=2        start=2026-09-25T16:53:05+02:00
j-k2h37-r3-a4-32k                  oom_kills=1        start=2026-09-25T19:04:58+02:00
j-neohorse-vp-r1-a4-32k            oom_kills=0        start=2026-09-25T21:25:07+02:00
j-neohorse-vp-r2-a4-32k            oom_kills=1        start=2026-09-25T21:39:01+02:00
j-neohorse-vp-r3-a4-32k            oom_kills=1        start=2026-09-25T22:03:55+02:00
# tool exit=0
