# OOM kills of llama-server per run (15 kills found)
# clock segment 2026-09-24 19:13 +0200 .. 2026-09-24 23:53 +0200  (boot 65397cf4, only runs with its boot_id)  kills: 0
# clock segment 2026-09-25 07:27 +0200 .. 2026-09-25 23:33 +0200  (boot 65397cf4, only runs with its boot_id)  kills: 11
# clock segment 2026-09-26 07:07 +0200 .. 2026-09-26 16:28 +0200  (boot ff31da5c, running)  kills: 4
# persistent journal: True
# 0 of 35 runs overlapped a kill; 0 unknown
j-k2h37-med-r2-a1                  oom_kills=0        start=2026-09-26T14:41:52+02:00
j-k2h37-med-r3-a1                  oom_kills=0        start=2026-09-26T14:48:01+02:00
j-neohorse-def-med-r2-a1           oom_kills=0        start=2026-09-26T14:26:41+02:00
j-neohorse-def-med-r3-a1           oom_kills=0        start=2026-09-26T14:35:43+02:00
j-neohorse-vp-med-r2-a1            oom_kills=0        start=2026-09-26T13:53:11+02:00
j-neohorse-vp-med-r3-a1            oom_kills=0        start=2026-09-26T14:05:57+02:00
j-ornith10-med-r1-a1               oom_kills=0        start=2026-09-26T12:53:37+02:00
j-ornith10-med-r2-a1               oom_kills=0        start=2026-09-26T13:07:24+02:00
j-ornith10-med-r3-a1               oom_kills=0        start=2026-09-26T13:20:28+02:00
j-ornith15-med-r2-a1               oom_kills=0        start=2026-09-26T13:31:28+02:00
j-ornith15-med-r3-a1               oom_kills=0        start=2026-09-26T13:43:05+02:00
j-spark17-med-r2-a1-retry          oom_kills=0        start=2026-09-26T15:54:45+02:00
j-spark17-med-r2-a1                oom_kills=0        start=2026-09-26T15:45:40+02:00
j-spark17-med-r3-a1                oom_kills=0        start=2026-09-26T16:17:12+02:00
j-spark4b-q4-med-r2-a1             oom_kills=0        start=2026-09-26T15:19:53+02:00
j-spark4b-q4-med-r3-a1             oom_kills=0        start=2026-09-26T15:32:45+02:00
j-spark4b-q8-med-r2-a1             oom_kills=0        start=2026-09-26T14:54:10+02:00
j-spark4b-q8-med-r3-a1             oom_kills=0        start=2026-09-26T15:06:14+02:00
j-k2h37-med-r2-a2                  oom_kills=0        start=2026-09-26T14:43:29+02:00
j-k2h37-med-r3-a2                  oom_kills=0        start=2026-09-26T14:49:42+02:00
j-neohorse-def-med-r2-a2           oom_kills=0        start=2026-09-26T14:28:34+02:00
j-neohorse-def-med-r3-a2           oom_kills=0        start=2026-09-26T14:37:36+02:00
j-neohorse-vp-med-r2-a2            oom_kills=0        start=2026-09-26T13:55:18+02:00
j-neohorse-vp-med-r3-a2            oom_kills=0        start=2026-09-26T14:11:06+02:00
j-ornith10-med-r1-a2               oom_kills=0        start=2026-09-26T12:56:17+02:00
j-ornith10-med-r2-a2               oom_kills=0        start=2026-09-26T13:12:22+02:00
j-ornith10-med-r3-a2               oom_kills=0        start=2026-09-26T13:23:03+02:00
j-ornith15-med-r2-a2               oom_kills=0        start=2026-09-26T13:34:55+02:00
j-ornith15-med-r3-a2               oom_kills=0        start=2026-09-26T13:45:56+02:00
j-spark17-med-r2-a2                oom_kills=0        start=2026-09-26T16:06:56+02:00
j-spark17-med-r3-a2                oom_kills=0        start=2026-09-26T16:22:15+02:00
j-spark4b-q4-med-r2-a2             oom_kills=0        start=2026-09-26T15:23:32+02:00
j-spark4b-q4-med-r3-a2             oom_kills=0        start=2026-09-26T15:37:53+02:00
j-spark4b-q8-med-r2-a2             oom_kills=0        start=2026-09-26T14:59:02+02:00
j-spark4b-q8-med-r3-a2             oom_kills=0        start=2026-09-26T15:12:14+02:00
