0.00.856.243 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.861.827 W srv  llama_server: -----------------
0.00.861.833 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.861.834 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.861.835 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.861.835 W srv  llama_server: -----------------
0.00.866.068 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.03.455.069 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.24.584.321 I cmn          init: llama threadpool init, n_threads = 6
0.25.072.886 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.25.447.162 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.450.011 I srv  llama_server: model loaded
0.25.450.027 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.450.028 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.25.450.028 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.37.179.496 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.37.181.532 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.43.713.969 I slot print_timing: id  0 | task 0 | prompt eval time =    2290.74 ms /  1276 tokens (    1.80 ms per token,   557.03 tokens per second)
0.43.713.977 I slot print_timing: id  0 | task 0 |        eval time =    4241.59 ms /    59 tokens (   73.13 ms per token,    13.67 tokens per second)
0.43.713.979 I slot print_timing: id  0 | task 0 |       total time =    6532.32 ms /  1335 tokens
0.43.713.988 I slot print_timing: id  0 | task 0 |    graphs reused =         61
0.43.714.225 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1334, truncated = 0
0.44.202.958 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.583 (> 0.100 thold), f_keep = 0.955
0.44.203.599 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
0.53.197.528 I slot print_timing: id  0 | task 62 | n_gen =    100, tg =  13.62 t/s, tg_3s =  13.76 t/s
0.56.240.110 I slot print_timing: id  0 | task 62 | n_gen =    141, tg =  13.58 t/s, tg_3s =  13.48 t/s
0.56.484.032 I slot print_timing: id  0 | task 62 | prompt eval time =    1726.63 ms /   910 tokens (    1.90 ms per token,   527.04 tokens per second)
0.56.484.041 I slot print_timing: id  0 | task 62 |        eval time =   10553.73 ms /   143 tokens (   74.32 ms per token,    13.45 tokens per second)
0.56.484.043 I slot print_timing: id  0 | task 62 |       total time =   12280.36 ms /  1053 tokens
0.56.484.045 I slot print_timing: id  0 | task 62 |    graphs reused =        204
0.56.484.396 I slot      release: id  0 | task 62 | stop processing: n_tokens = 2326, truncated = 0
0.57.457.703 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.857 (> 0.100 thold), f_keep = 0.938
0.57.458.415 I slot launch_slot_: id  0 | task 207 | processing task, is_child = 0
1.05.693.708 I slot print_timing: id  0 | task 207 | n_gen =    100, tg =  13.22 t/s, tg_3s =  13.35 t/s
1.08.728.450 I slot print_timing: id  0 | task 207 | n_gen =    140, tg =  13.21 t/s, tg_3s =  13.18 t/s
1.11.765.955 I slot print_timing: id  0 | task 207 | n_gen =    180, tg =  13.20 t/s, tg_3s =  13.17 t/s
1.14.800.467 I slot print_timing: id  0 | task 207 | n_gen =    220, tg =  13.19 t/s, tg_3s =  13.18 t/s
1.17.834.621 I slot print_timing: id  0 | task 207 | n_gen =    260, tg =  13.19 t/s, tg_3s =  13.18 t/s
1.20.908.530 I slot print_timing: id  0 | task 207 | n_gen =    300, tg =  13.17 t/s, tg_3s =  13.01 t/s
1.23.911.196 I slot print_timing: id  0 | task 207 | n_gen =    339, tg =  13.15 t/s, tg_3s =  12.99 t/s
1.25.082.210 I slot print_timing: id  0 | task 207 | prompt eval time =     743.79 ms /   363 tokens (    2.05 ms per token,   488.04 tokens per second)
1.25.082.219 I slot print_timing: id  0 | task 207 |        eval time =   26879.93 ms /   353 tokens (   76.36 ms per token,    13.10 tokens per second)
1.25.082.220 I slot print_timing: id  0 | task 207 |       total time =   27623.72 ms /   716 tokens
1.25.082.223 I slot print_timing: id  0 | task 207 |    graphs reused =        554
1.25.082.593 I slot      release: id  0 | task 207 | stop processing: n_tokens = 2897, truncated = 0
1.25.558.486 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.863 (> 0.100 thold), f_keep = 0.878
1.25.559.143 I slot launch_slot_: id  0 | task 561 | processing task, is_child = 0
1.28.310.328 I slot print_timing: id  0 | task 561 | prompt eval time =     872.45 ms /   402 tokens (    2.17 ms per token,   460.77 tokens per second)
1.28.310.339 I slot print_timing: id  0 | task 561 |        eval time =    1878.66 ms /    24 tokens (   81.68 ms per token,    12.24 tokens per second)
1.28.310.341 I slot print_timing: id  0 | task 561 |       total time =    2751.12 ms /   426 tokens
1.28.310.343 I slot print_timing: id  0 | task 561 |    graphs reused =        577
1.28.310.751 I slot      release: id  0 | task 561 | stop processing: n_tokens = 2968, truncated = 0
1.29.135.464 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.992
1.29.136.267 I slot launch_slot_: id  0 | task 586 | processing task, is_child = 0
1.36.952.470 I slot print_timing: id  0 | task 586 | n_gen =    100, tg =  12.97 t/s, tg_3s =  13.10 t/s
1.37.107.845 I slot print_timing: id  0 | task 586 | prompt eval time =     184.88 ms /    51 tokens (    3.63 ms per token,   275.85 tokens per second)
1.37.107.860 I slot print_timing: id  0 | task 586 |        eval time =    7786.62 ms /   102 tokens (   77.10 ms per token,    12.97 tokens per second)
1.37.107.864 I slot print_timing: id  0 | task 586 |       total time =    7971.51 ms /   153 tokens
1.37.107.871 I slot print_timing: id  0 | task 586 |    graphs reused =        676
1.37.108.430 I slot      release: id  0 | task 586 | stop processing: n_tokens = 3095, truncated = 0
1.37.235.244 I srv    operator(): operator(): cleaning up before exit...
