0.00.854.298 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.860.380 W srv  llama_server: -----------------
0.00.860.391 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.860.392 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.860.393 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.860.394 W srv  llama_server: -----------------
0.00.864.646 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.03.474.341 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.24.467.186 I cmn          init: llama threadpool init, n_threads = 6
0.24.932.636 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.25.311.188 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.313.775 I srv  llama_server: model loaded
0.25.313.787 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.313.788 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.25.313.789 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.31.085.163 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.086.040 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.34.536.892 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.31, t =   3.45 s / 593.50 tokens per second
0.35.485.441 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.39, t =   4.40 s / 581.91 tokens per second
0.36.465.058 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3072, progress = 0.47, t =   5.38 s / 571.12 tokens per second
0.37.475.478 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3584, progress = 0.55, t =   6.39 s / 560.93 tokens per second
0.38.522.176 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4096, progress = 0.63, t =   7.44 s / 550.83 tokens per second
0.39.611.680 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4608, progress = 0.71, t =   8.53 s / 540.49 tokens per second
0.40.742.016 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5120, progress = 0.79, t =   9.66 s / 530.25 tokens per second
0.41.917.602 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5632, progress = 0.86, t =  10.83 s / 519.97 tokens per second
0.43.134.133 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6144, progress = 0.94, t =  12.05 s / 509.96 tokens per second
0.53.525.764 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  10.83 t/s, tg_3s =  10.94 t/s
0.56.553.089 I slot print_timing: id  0 | task 1 | n_gen =    133, tg =  10.85 t/s, tg_3s =  10.90 t/s
0.59.617.734 I slot print_timing: id  0 | task 1 | n_gen =    166, tg =  10.83 t/s, tg_3s =  10.77 t/s
1.02.679.154 I slot print_timing: id  0 | task 1 | n_gen =    199, tg =  10.82 t/s, tg_3s =  10.78 t/s
1.05.742.290 I slot print_timing: id  0 | task 1 | n_gen =    232, tg =  10.81 t/s, tg_3s =  10.77 t/s
1.08.804.768 I slot print_timing: id  0 | task 1 | n_gen =    265, tg =  10.81 t/s, tg_3s =  10.78 t/s
1.11.868.243 I slot print_timing: id  0 | task 1 | n_gen =    298, tg =  10.81 t/s, tg_3s =  10.77 t/s
1.14.934.143 I slot print_timing: id  0 | task 1 | n_gen =    331, tg =  10.80 t/s, tg_3s =  10.76 t/s
1.17.998.717 I slot print_timing: id  0 | task 1 | n_gen =    364, tg =  10.80 t/s, tg_3s =  10.77 t/s
1.21.061.870 I slot print_timing: id  0 | task 1 | n_gen =    397, tg =  10.80 t/s, tg_3s =  10.77 t/s
1.24.077.398 I slot print_timing: id  0 | task 1 | n_gen =    429, tg =  10.78 t/s, tg_3s =  10.61 t/s
1.27.082.179 I slot print_timing: id  0 | task 1 | n_gen =    461, tg =  10.77 t/s, tg_3s =  10.65 t/s
1.30.089.432 I slot print_timing: id  0 | task 1 | n_gen =    493, tg =  10.76 t/s, tg_3s =  10.64 t/s
1.33.095.259 I slot print_timing: id  0 | task 1 | n_gen =    525, tg =  10.76 t/s, tg_3s =  10.65 t/s
1.36.101.134 I slot print_timing: id  0 | task 1 | n_gen =    557, tg =  10.75 t/s, tg_3s =  10.65 t/s
1.39.110.478 I slot print_timing: id  0 | task 1 | n_gen =    589, tg =  10.74 t/s, tg_3s =  10.63 t/s
1.42.117.165 I slot print_timing: id  0 | task 1 | n_gen =    621, tg =  10.74 t/s, tg_3s =  10.64 t/s
1.45.121.157 I slot print_timing: id  0 | task 1 | n_gen =    653, tg =  10.73 t/s, tg_3s =  10.65 t/s
1.48.172.379 I slot print_timing: id  0 | task 1 | n_gen =    685, tg =  10.72 t/s, tg_3s =  10.49 t/s
1.51.212.228 I slot print_timing: id  0 | task 1 | n_gen =    717, tg =  10.71 t/s, tg_3s =  10.53 t/s
1.54.253.997 I slot print_timing: id  0 | task 1 | n_gen =    749, tg =  10.71 t/s, tg_3s =  10.52 t/s
1.57.294.856 I slot print_timing: id  0 | task 1 | n_gen =    781, tg =  10.70 t/s, tg_3s =  10.52 t/s
2.00.336.845 I slot print_timing: id  0 | task 1 | n_gen =    813, tg =  10.69 t/s, tg_3s =  10.52 t/s
2.03.375.084 I slot print_timing: id  0 | task 1 | n_gen =    845, tg =  10.68 t/s, tg_3s =  10.53 t/s
2.06.413.584 I slot print_timing: id  0 | task 1 | n_gen =    877, tg =  10.68 t/s, tg_3s =  10.53 t/s
2.07.744.226 I slot print_timing: id  0 | task 1 | prompt eval time =   13295.50 ms /  6514 tokens (    2.04 ms per token,   489.94 tokens per second)
2.07.744.240 I slot print_timing: id  0 | task 1 |        eval time =   83362.59 ms /   891 tokens (   93.67 ms per token,    10.68 tokens per second)
2.07.744.243 I slot print_timing: id  0 | task 1 |       total time =   96658.09 ms /  7405 tokens
2.07.744.253 I slot print_timing: id  0 | task 1 |    graphs reused =        912
2.07.745.034 I slot      release: id  0 | task 1 | stop processing: n_tokens = 7404, truncated = 0
2.08.092.511 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.307 (> 0.100 thold), f_keep = 0.009
2.08.314.219 I slot launch_slot_: id  0 | task 905 | processing task, is_child = 0
2.15.159.439 I slot print_timing: id  0 | task 905 | n_gen =    100, tg =  15.19 t/s, tg_3s =  15.34 t/s
2.18.186.333 I slot print_timing: id  0 | task 905 | n_gen =    146, tg =  15.19 t/s, tg_3s =  15.20 t/s
2.21.212.033 I slot print_timing: id  0 | task 905 | n_gen =    192, tg =  15.19 t/s, tg_3s =  15.20 t/s
2.24.243.983 I slot print_timing: id  0 | task 905 | n_gen =    238, tg =  15.19 t/s, tg_3s =  15.17 t/s
2.27.277.017 I slot print_timing: id  0 | task 905 | n_gen =    284, tg =  15.19 t/s, tg_3s =  15.17 t/s
2.30.302.813 I slot print_timing: id  0 | task 905 | n_gen =    329, tg =  15.14 t/s, tg_3s =  14.87 t/s
