0.02.819.074 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.835.370 W srv  llama_server: -----------------
0.02.835.379 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.835.381 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.835.381 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.835.382 W srv  llama_server: -----------------
0.02.844.809 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.05.968.869 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.59.685.239 I cmn          init: llama threadpool init, n_threads = 6
1.00.236.953 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.00.604.885 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.00.610.256 I srv  llama_server: model loaded
1.00.610.271 I srv  llama_server: listening on http://127.0.0.1:8080
1.00.610.271 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
1.00.610.272 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.07.175.440 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.07.175.664 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.10.621.571 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.56, t =   3.45 s / 594.35 tokens per second
1.11.569.844 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.69, t =   4.39 s / 582.60 tokens per second
1.12.547.906 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3072, progress = 0.83, t =   5.37 s / 571.84 tokens per second
1.13.557.046 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3584, progress = 0.97, t =   6.38 s / 561.64 tokens per second
1.22.019.693 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.43 t/s, tg_3s =  12.56 t/s
1.25.061.912 I slot print_timing: id  0 | task 1 | n_gen =    138, tg =  12.45 t/s, tg_3s =  12.49 t/s
1.28.133.362 I slot print_timing: id  0 | task 1 | n_gen =    176, tg =  12.43 t/s, tg_3s =  12.37 t/s
1.31.205.796 I slot print_timing: id  0 | task 1 | n_gen =    214, tg =  12.42 t/s, tg_3s =  12.37 t/s
1.34.278.286 I slot print_timing: id  0 | task 1 | n_gen =    252, tg =  12.41 t/s, tg_3s =  12.37 t/s
