0.00.003.164 I srv  llama_server: initializing ...
0.00.882.898 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.889.206 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.894.539 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/LFM2.5-2.6B-Q8_0.gguf'
0.32.513.535 I cmn          init: llama threadpool init, n_threads = 6
0.32.891.915 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.32.913.382 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.32.913.499 I srv  llama_server: model loaded
0.32.913.517 I srv  llama_server: listening on http://127.0.0.1:8080
0.32.913.518 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.42.510.791 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.42.515.664 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.48.658.366 I slot print_timing: id  0 | task 0 | prompt eval time =    1503.43 ms /  1389 tokens (    1.08 ms per token,   923.89 tokens per second)
0.48.658.382 I slot print_timing: id  0 | task 0 |        eval time =    4639.17 ms /    98 tokens (   47.83 ms per token,    20.91 tokens per second)
0.48.658.385 I slot print_timing: id  0 | task 0 |       total time =    6142.59 ms /  1487 tokens
0.48.658.396 I slot print_timing: id  0 | task 0 |    graphs reused =        100
0.48.658.809 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1486, truncated = 0
0.49.271.573 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.861 (> 0.100 thold), f_keep = 1.000
0.49.272.405 I slot launch_slot_: id  0 | task 103 | processing task, is_child = 0
0.53.895.855 I slot print_timing: id  0 | task 103 | prompt eval time =     308.55 ms /   240 tokens (    1.29 ms per token,   777.84 tokens per second)
0.53.895.868 I slot print_timing: id  0 | task 103 |        eval time =    4314.83 ms /    92 tokens (   47.42 ms per token,    21.09 tokens per second)
0.53.895.870 I slot print_timing: id  0 | task 103 |       total time =    4623.38 ms /   332 tokens
0.53.895.873 I slot print_timing: id  0 | task 103 |    graphs reused =        189
0.53.896.337 I slot      release: id  0 | task 103 | stop processing: n_tokens = 1817, truncated = 0
0.53.960.737 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.832 (> 0.100 thold), f_keep = 1.000
0.53.961.529 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.59.100.760 I slot print_timing: id  0 | task 198 | n_gen =    100, tg =  20.96 t/s, tg_3s =  21.17 t/s
1.02.113.272 I slot print_timing: id  0 | task 198 | n_gen =    163, tg =  20.94 t/s, tg_3s =  20.91 t/s
1.05.131.791 I slot print_timing: id  0 | task 198 | prompt eval time =     415.43 ms /   367 tokens (    1.13 ms per token,   883.42 tokens per second)
