0.00.003.549 I srv  llama_server: initializing ...
0.00.913.253 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.919.531 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.924.963 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.37.266.945 I cmn          init: llama threadpool init, n_threads = 6
0.37.830.366 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.37.878.120 I srv  llama_server: model loaded
0.37.878.141 I srv  llama_server: listening on http://127.0.0.1:8080
0.37.878.143 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.48.757.066 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.48.758.506 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.51.859.132 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1493, progress = 0.96, t =   3.10 s / 481.53 tokens per second
0.52.045.746 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1554, progress = 1.00, t =   3.29 s / 472.75 tokens per second
0.58.909.747 I slot print_timing: id  0 | task 1 | prompt eval time =    3516.07 ms /  1558 tokens (    2.26 ms per token,   443.11 tokens per second)
0.58.909.761 I slot print_timing: id  0 | task 1 |        eval time =    6635.08 ms /    81 tokens (   82.94 ms per token,    12.06 tokens per second)
0.58.909.765 I slot print_timing: id  0 | task 1 |       total time =   10151.15 ms /  1639 tokens
0.58.909.774 I slot print_timing: id  0 | task 1 |    graphs reused =         84
0.58.910.263 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1638, truncated = 0
0.59.497.840 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.691 (> 0.100 thold), f_keep = 1.000
0.59.498.655 I slot launch_slot_: id  0 | task 88 | processing task, is_child = 0
1.06.907.481 I slot print_timing: id  0 | task 88 | prompt eval time =    1643.96 ms /   731 tokens (    2.25 ms per token,   444.66 tokens per second)
1.06.907.495 I slot print_timing: id  0 | task 88 |        eval time =    5764.79 ms /    70 tokens (   83.55 ms per token,    11.97 tokens per second)
1.06.907.497 I slot print_timing: id  0 | task 88 |       total time =    7408.76 ms /   801 tokens
1.06.907.500 I slot print_timing: id  0 | task 88 |    graphs reused =        153
1.06.907.986 I slot      release: id  0 | task 88 | stop processing: n_tokens = 2438, truncated = 0
1.07.003.172 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.953 (> 0.100 thold), f_keep = 1.000
1.07.003.894 I slot launch_slot_: id  0 | task 162 | processing task, is_child = 0
1.13.723.745 I slot print_timing: id  0 | task 162 | prompt eval time =     430.09 ms /   119 tokens (    3.61 ms per token,   276.69 tokens per second)
1.13.723.757 I slot print_timing: id  0 | task 162 |        eval time =    6289.69 ms /    76 tokens (   83.86 ms per token,    11.92 tokens per second)
1.13.723.760 I slot print_timing: id  0 | task 162 |       total time =    6719.78 ms /   195 tokens
1.13.723.762 I slot print_timing: id  0 | task 162 |    graphs reused =        226
1.13.724.265 I slot      release: id  0 | task 162 | stop processing: n_tokens = 2632, truncated = 0
1.13.820.999 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.620 (> 0.100 thold), f_keep = 1.000
1.13.821.631 I slot launch_slot_: id  0 | task 240 | processing task, is_child = 0
1.17.017.570 I slot print_timing: id  0 | task 240 | prompt processing, n_tokens =   1611, progress = 1.00, t =   3.20 s / 504.09 tokens per second
1.25.733.182 I slot print_timing: id  0 | task 240 | n_gen =    100, tg =  11.77 t/s, tg_3s =  11.89 t/s
1.28.801.097 I slot print_timing: id  0 | task 240 | n_gen =    136, tg =  11.76 t/s, tg_3s =  11.73 t/s
1.31.858.353 I slot print_timing: id  0 | task 240 | n_gen =    172, tg =  11.76 t/s, tg_3s =  11.78 t/s
1.34.920.256 I slot print_timing: id  0 | task 240 | n_gen =    208, tg =  11.76 t/s, tg_3s =  11.76 t/s
1.37.980.661 I slot print_timing: id  0 | task 240 | n_gen =    244, tg =  11.76 t/s, tg_3s =  11.76 t/s
1.41.029.269 I slot print_timing: id  0 | task 240 | n_gen =    280, tg =  11.77 t/s, tg_3s =  11.81 t/s
1.44.091.306 I slot print_timing: id  0 | task 240 | n_gen =    316, tg =  11.77 t/s, tg_3s =  11.76 t/s
1.47.141.637 I slot print_timing: id  0 | task 240 | n_gen =    352, tg =  11.77 t/s, tg_3s =  11.80 t/s
1.50.142.732 I slot print_timing: id  0 | task 240 | n_gen =    387, tg =  11.76 t/s, tg_3s =  11.66 t/s
1.53.218.971 I slot print_timing: id  0 | task 240 | n_gen =    423, tg =  11.76 t/s, tg_3s =  11.70 t/s
1.56.290.877 I slot print_timing: id  0 | task 240 | n_gen =    459, tg =  11.75 t/s, tg_3s =  11.72 t/s
1.59.363.678 I slot print_timing: id  0 | task 240 | n_gen =    495, tg =  11.75 t/s, tg_3s =  11.72 t/s
2.02.443.724 I slot print_timing: id  0 | task 240 | n_gen =    531, tg =  11.75 t/s, tg_3s =  11.69 t/s
2.05.510.942 I slot print_timing: id  0 | task 240 | n_gen =    567, tg =  11.75 t/s, tg_3s =  11.74 t/s
2.08.581.386 I slot print_timing: id  0 | task 240 | n_gen =    603, tg =  11.74 t/s, tg_3s =  11.72 t/s
2.11.584.966 I slot print_timing: id  0 | task 240 | n_gen =    638, tg =  11.74 t/s, tg_3s =  11.65 t/s
2.14.662.650 I slot print_timing: id  0 | task 240 | n_gen =    674, tg =  11.74 t/s, tg_3s =  11.70 t/s
2.17.739.248 I slot print_timing: id  0 | task 240 | n_gen =    710, tg =  11.74 t/s, tg_3s =  11.70 t/s
2.20.811.711 I slot print_timing: id  0 | task 240 | n_gen =    746, tg =  11.73 t/s, tg_3s =  11.72 t/s
2.23.877.239 I slot print_timing: id  0 | task 240 | n_gen =    782, tg =  11.73 t/s, tg_3s =  11.74 t/s
2.26.945.591 I slot print_timing: id  0 | task 240 | n_gen =    818, tg =  11.73 t/s, tg_3s =  11.73 t/s
2.30.016.783 I slot print_timing: id  0 | task 240 | n_gen =    854, tg =  11.73 t/s, tg_3s =  11.72 t/s
2.33.027.739 I slot print_timing: id  0 | task 240 | n_gen =    889, tg =  11.73 t/s, tg_3s =  11.62 t/s
2.36.032.822 I slot print_timing: id  0 | task 240 | n_gen =    924, tg =  11.73 t/s, tg_3s =  11.65 t/s
2.39.035.656 I slot print_timing: id  0 | task 240 | n_gen =    959, tg =  11.72 t/s, tg_3s =  11.66 t/s
2.42.038.348 I slot print_timing: id  0 | task 240 | n_gen =    994, tg =  11.72 t/s, tg_3s =  11.66 t/s
2.45.044.803 I slot print_timing: id  0 | task 240 | n_gen =   1029, tg =  11.72 t/s, tg_3s =  11.64 t/s
2.48.054.423 I slot print_timing: id  0 | task 240 | n_gen =   1064, tg =  11.72 t/s, tg_3s =  11.63 t/s
2.51.055.418 I slot print_timing: id  0 | task 240 | n_gen =   1099, tg =  11.71 t/s, tg_3s =  11.66 t/s
2.54.074.383 I slot print_timing: id  0 | task 240 | n_gen =   1134, tg =  11.71 t/s, tg_3s =  11.59 t/s
2.57.089.263 I slot print_timing: id  0 | task 240 | n_gen =   1169, tg =  11.71 t/s, tg_3s =  11.61 t/s
3.00.099.470 I slot print_timing: id  0 | task 240 | n_gen =   1204, tg =  11.70 t/s, tg_3s =  11.63 t/s
3.03.119.340 I slot print_timing: id  0 | task 240 | n_gen =   1239, tg =  11.70 t/s, tg_3s =  11.59 t/s
3.06.146.411 I slot print_timing: id  0 | task 240 | n_gen =   1274, tg =  11.70 t/s, tg_3s =  11.56 t/s
3.09.174.896 I slot print_timing: id  0 | task 240 | n_gen =   1309, tg =  11.69 t/s, tg_3s =  11.56 t/s
3.12.206.588 I slot print_timing: id  0 | task 240 | n_gen =   1344, tg =  11.69 t/s, tg_3s =  11.54 t/s
3.15.241.528 I slot print_timing: id  0 | task 240 | n_gen =   1379, tg =  11.69 t/s, tg_3s =  11.53 t/s
3.18.276.920 I slot print_timing: id  0 | task 240 | n_gen =   1414, tg =  11.68 t/s, tg_3s =  11.53 t/s
3.21.294.214 I slot print_timing: id  0 | task 240 | n_gen =   1449, tg =  11.68 t/s, tg_3s =  11.60 t/s
3.24.314.731 I slot print_timing: id  0 | task 240 | n_gen =   1484, tg =  11.68 t/s, tg_3s =  11.59 t/s
3.27.350.411 I slot print_timing: id  0 | task 240 | n_gen =   1519, tg =  11.67 t/s, tg_3s =  11.53 t/s
