0.00.001.640 I srv  llama_server: initializing ...
0.00.201.702 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.203.926 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.206.642 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.26.971.570 I cmn          init: llama threadpool init, n_threads = 6
0.27.537.253 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.27.577.861 I srv  llama_server: model loaded
0.27.577.890 I srv  llama_server: listening on http://127.0.0.1:8080
0.27.577.893 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.32.454.573 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.32.454.775 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.43.238.879 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  11.98 t/s, tg_3s =  12.10 t/s
0.46.311.131 I slot print_timing: id  0 | task 1 | n_gen =    137, tg =  12.00 t/s, tg_3s =  12.04 t/s
0.49.386.165 I slot print_timing: id  0 | task 1 | n_gen =    174, tg =  12.00 t/s, tg_3s =  12.03 t/s
0.52.395.182 I slot print_timing: id  0 | task 1 | n_gen =    210, tg =  12.00 t/s, tg_3s =  11.96 t/s
0.55.473.250 I slot print_timing: id  0 | task 1 | n_gen =    247, tg =  12.00 t/s, tg_3s =  12.02 t/s
0.58.473.434 I slot print_timing: id  0 | task 1 | n_gen =    283, tg =  12.00 t/s, tg_3s =  12.00 t/s
1.01.542.445 I slot print_timing: id  0 | task 1 | n_gen =    320, tg =  12.01 t/s, tg_3s =  12.06 t/s
1.04.551.966 I slot print_timing: id  0 | task 1 | n_gen =    356, tg =  12.00 t/s, tg_3s =  11.96 t/s
1.05.298.292 I slot print_timing: id  0 | task 1 | prompt eval time =    2520.15 ms /  1089 tokens (    2.31 ms per token,   432.12 tokens per second)
1.05.298.305 I slot print_timing: id  0 | task 1 |        eval time =   30323.27 ms /   365 tokens (   83.31 ms per token,    12.00 tokens per second)
1.05.298.308 I slot print_timing: id  0 | task 1 |       total time =   32843.42 ms /  1454 tokens
1.05.298.319 I slot print_timing: id  0 | task 1 |    graphs reused =        365
1.05.298.576 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1453, truncated = 0
1.05.644.140 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11733048101
1.05.779.180 I slot launch_slot_: id  0 | task 371 | processing task, is_child = 0
1.09.619.854 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   2005, progress = 0.10, t =   3.84 s / 522.06 tokens per second
1.10.658.240 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   2517, progress = 0.12, t =   4.88 s / 515.89 tokens per second
1.11.702.924 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   3029, progress = 0.14, t =   5.92 s / 511.34 tokens per second
1.12.753.519 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   3541, progress = 0.17, t =   6.97 s / 507.72 tokens per second
1.13.811.464 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   4053, progress = 0.19, t =   8.03 s / 504.59 tokens per second
1.14.874.902 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   4565, progress = 0.22, t =   9.10 s / 501.89 tokens per second
1.15.947.084 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   5077, progress = 0.24, t =  10.17 s / 499.32 tokens per second
1.17.028.147 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   5589, progress = 0.27, t =  11.25 s / 496.85 tokens per second
1.18.120.993 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   6101, progress = 0.29, t =  12.34 s / 494.34 tokens per second
1.19.218.635 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   6613, progress = 0.32, t =  13.44 s / 492.06 tokens per second
1.20.323.129 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   7125, progress = 0.34, t =  14.54 s / 489.90 tokens per second
1.21.435.571 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   7637, progress = 0.36, t =  15.66 s / 487.79 tokens per second
1.22.554.005 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   8149, progress = 0.39, t =  16.77 s / 485.79 tokens per second
1.23.679.062 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   8661, progress = 0.41, t =  17.90 s / 483.86 tokens per second
1.24.808.617 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   9173, progress = 0.44, t =  19.03 s / 482.04 tokens per second
1.25.943.317 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =   9685, progress = 0.46, t =  20.16 s / 480.31 tokens per second
1.27.085.270 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  10197, progress = 0.49, t =  21.31 s / 478.60 tokens per second
1.28.235.498 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  10709, progress = 0.51, t =  22.46 s / 476.88 tokens per second
1.29.391.368 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  11221, progress = 0.53, t =  23.61 s / 475.22 tokens per second
1.30.557.010 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  11733, progress = 0.56, t =  24.78 s / 473.53 tokens per second
1.31.730.292 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  12245, progress = 0.58, t =  25.95 s / 471.85 tokens per second
1.32.904.449 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  12757, progress = 0.61, t =  27.13 s / 470.30 tokens per second
1.33.826.198 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  13042, progress = 0.62, t =  28.05 s / 465.01 tokens per second
1.34.831.533 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  13554, progress = 0.65, t =  29.05 s / 466.54 tokens per second
1.36.031.206 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  14066, progress = 0.67, t =  30.25 s / 464.96 tokens per second
1.37.234.637 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  14578, progress = 0.69, t =  31.46 s / 463.45 tokens per second
1.38.444.349 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  15090, progress = 0.72, t =  32.67 s / 461.96 tokens per second
1.39.660.640 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  15602, progress = 0.74, t =  33.88 s / 460.49 tokens per second
1.40.884.542 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  16114, progress = 0.77, t =  35.11 s / 459.02 tokens per second
1.42.116.119 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  16626, progress = 0.79, t =  36.34 s / 457.55 tokens per second
1.43.353.806 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  17138, progress = 0.82, t =  37.57 s / 456.11 tokens per second
1.44.598.674 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  17650, progress = 0.84, t =  38.82 s / 454.67 tokens per second
1.45.850.289 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  18162, progress = 0.87, t =  40.07 s / 453.25 tokens per second
1.47.105.653 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  18674, progress = 0.89, t =  41.33 s / 451.87 tokens per second
1.48.369.492 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  19186, progress = 0.91, t =  42.59 s / 450.48 tokens per second
1.49.643.796 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  19698, progress = 0.94, t =  43.86 s / 449.06 tokens per second
1.50.923.134 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  20210, progress = 0.96, t =  45.14 s / 447.68 tokens per second
1.52.210.191 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  20722, progress = 0.99, t =  46.43 s / 446.30 tokens per second
1.52.857.547 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  20851, progress = 0.99, t =  47.08 s / 442.90 tokens per second
1.53.021.910 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  20939, progress = 1.00, t =  47.24 s / 443.22 tokens per second
1.53.266.248 I slot print_timing: id  0 | task 371 | prompt processing, n_tokens =  20979, progress = 1.00, t =  47.49 s / 441.78 tokens per second
1.59.394.223 I slot print_timing: id  0 | task 371 | prompt eval time =   47754.27 ms / 20983 tokens (    2.28 ms per token,   439.40 tokens per second)
1.59.394.238 I slot print_timing: id  0 | task 371 |        eval time =    5860.68 ms /    59 tokens (  101.05 ms per token,     9.90 tokens per second)
1.59.394.242 I slot print_timing: id  0 | task 371 |       total time =   53614.95 ms / 21042 tokens
1.59.394.244 I slot print_timing: id  0 | task 371 |    graphs reused =        500
1.59.396.382 I slot      release: id  0 | task 371 | stop processing: n_tokens = 21041, truncated = 0
2.00.119.825 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
2.00.120.362 I slot launch_slot_: id  0 | task 475 | processing task, is_child = 0
2.03.111.934 I slot print_timing: id  0 | task 475 | prompt eval time =     368.22 ms /    36 tokens (   10.23 ms per token,    97.77 tokens per second)
2.03.111.947 I slot print_timing: id  0 | task 475 |        eval time =    2623.29 ms /    27 tokens (  100.90 ms per token,     9.91 tokens per second)
2.03.111.949 I slot print_timing: id  0 | task 475 |       total time =    2991.51 ms /    63 tokens
2.03.111.952 I slot print_timing: id  0 | task 475 |    graphs reused =        525
2.03.114.213 I slot      release: id  0 | task 475 | stop processing: n_tokens = 21103, truncated = 0
2.03.661.999 I srv    operator(): operator(): cleaning up before exit...
