0.00.003.482 I srv  llama_server: initializing ...
0.00.896.043 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.902.114 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.907.362 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.21.393.616 I cmn          init: llama threadpool init, n_threads = 6
0.21.884.910 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.21.909.493 I srv  llama_server: model loaded
0.21.909.518 I srv  llama_server: listening on http://127.0.0.1:8080
0.21.909.524 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.32.413.967 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.32.418.836 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.35.559.178 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1444, progress = 0.92, t =   3.14 s / 459.84 tokens per second
0.35.700.294 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1492, progress = 0.95, t =   3.28 s / 454.69 tokens per second
0.35.873.253 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1572, progress = 1.00, t =   3.45 s / 455.09 tokens per second
0.42.899.603 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  14.58 t/s, tg_3s =  14.72 t/s
0.45.942.556 I slot print_timing: id  0 | task 0 | n_gen =    145, tg =  14.64 t/s, tg_3s =  14.79 t/s
0.46.144.887 I slot print_timing: id  0 | task 0 | prompt eval time =    3689.43 ms /  1576 tokens (    2.34 ms per token,   427.17 tokens per second)
0.46.144.900 I slot print_timing: id  0 | task 0 |        eval time =   10036.49 ms /   148 tokens (   68.28 ms per token,    14.65 tokens per second)
0.46.144.903 I slot print_timing: id  0 | task 0 |       total time =   13725.92 ms /  1724 tokens
0.46.144.913 I slot print_timing: id  0 | task 0 |    graphs reused =        151
0.46.145.328 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1723, truncated = 0
0.46.748.799 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.871 (> 0.100 thold), f_keep = 1.000
0.46.749.545 I slot launch_slot_: id  0 | task 154 | processing task, is_child = 0
0.54.202.898 I slot print_timing: id  0 | task 154 | n_gen =    100, tg =  14.61 t/s, tg_3s =  14.76 t/s
0.55.154.743 I slot print_timing: id  0 | task 154 | prompt eval time =     677.81 ms /   256 tokens (    2.65 ms per token,   377.69 tokens per second)
0.55.154.755 I slot print_timing: id  0 | task 154 |        eval time =    7727.31 ms /   114 tokens (   68.38 ms per token,    14.62 tokens per second)
0.55.154.758 I slot print_timing: id  0 | task 154 |       total time =    8405.12 ms /   370 tokens
0.55.154.761 I slot print_timing: id  0 | task 154 |    graphs reused =        262
0.55.155.194 I slot      release: id  0 | task 154 | stop processing: n_tokens = 2092, truncated = 0
0.55.252.569 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.742 (> 0.100 thold), f_keep = 1.000
