0.00.001.675 I srv  llama_server: initializing ...
0.00.238.254 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.240.301 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.242.940 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.081.350 I cmn          init: llama threadpool init, n_threads = 6
0.10.418.537 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.10.440.212 I srv  llama_server: model loaded
0.10.440.237 I srv  llama_server: listening on http://127.0.0.1:8080
0.10.440.238 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.20.674.202 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.676.282 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.23.799.516 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1451, progress = 0.92, t =   3.12 s / 464.60 tokens per second
0.23.945.916 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1495, progress = 0.94, t =   3.27 s / 457.25 tokens per second
0.24.119.461 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1579, progress = 1.00, t =   3.44 s / 458.60 tokens per second
0.31.046.942 I slot print_timing: id  0 | task 0 | prompt eval time =    3687.32 ms /  1583 tokens (    2.33 ms per token,   429.31 tokens per second)
0.31.046.956 I slot print_timing: id  0 | task 0 |        eval time =    6683.23 ms /    99 tokens (   68.20 ms per token,    14.66 tokens per second)
0.31.046.959 I slot print_timing: id  0 | task 0 |       total time =   10370.55 ms /  1682 tokens
0.31.046.970 I slot print_timing: id  0 | task 0 |    graphs reused =        102
0.31.047.376 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1681, truncated = 0
0.31.604.349 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.776 (> 0.100 thold), f_keep = 1.000
0.31.605.196 I slot launch_slot_: id  0 | task 105 | processing task, is_child = 0
0.39.577.953 I slot print_timing: id  0 | task 105 | n_gen =    100, tg =  14.57 t/s, tg_3s =  14.72 t/s
0.42.591.677 I slot print_timing: id  0 | task 105 | n_gen =    144, tg =  14.58 t/s, tg_3s =  14.60 t/s
0.45.599.455 I slot print_timing: id  0 | task 105 | n_gen =    188, tg =  14.59 t/s, tg_3s =  14.63 t/s
0.48.622.953 I slot print_timing: id  0 | task 105 | n_gen =    232, tg =  14.58 t/s, tg_3s =  14.55 t/s
0.51.641.259 I slot print_timing: id  0 | task 105 | n_gen =    276, tg =  14.58 t/s, tg_3s =  14.58 t/s
0.54.654.779 I slot print_timing: id  0 | task 105 | n_gen =    320, tg =  14.59 t/s, tg_3s =  14.60 t/s
0.57.660.680 I slot print_timing: id  0 | task 105 | n_gen =    364, tg =  14.59 t/s, tg_3s =  14.64 t/s
1.00.687.448 I slot print_timing: id  0 | task 105 | n_gen =    408, tg =  14.59 t/s, tg_3s =  14.54 t/s
1.03.092.388 I slot print_timing: id  0 | task 105 | prompt eval time =    1178.42 ms /   484 tokens (    2.43 ms per token,   410.72 tokens per second)
1.03.092.403 I slot print_timing: id  0 | task 105 |        eval time =   30308.70 ms /   443 tokens (   68.57 ms per token,    14.58 tokens per second)
1.03.092.407 I slot print_timing: id  0 | task 105 |       total time =   31487.12 ms /   927 tokens
1.03.092.409 I slot print_timing: id  0 | task 105 |    graphs reused =        542
1.03.092.844 I slot      release: id  0 | task 105 | stop processing: n_tokens = 2607, truncated = 0
1.05.059.834 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.655 (> 0.100 thold), f_keep = 0.606
1.05.060.421 I slot launch_slot_: id  0 | task 552 | processing task, is_child = 0
1.13.946.517 I slot print_timing: id  0 | task 552 | n_gen =    100, tg =  14.54 t/s, tg_3s =  14.68 t/s
1.14.906.491 I slot print_timing: id  0 | task 552 | prompt eval time =    2076.01 ms /   835 tokens (    2.49 ms per token,   402.21 tokens per second)
1.14.906.503 I slot print_timing: id  0 | task 552 |        eval time =    7769.99 ms /   114 tokens (   68.76 ms per token,    14.54 tokens per second)
1.14.906.506 I slot print_timing: id  0 | task 552 |       total time =    9846.00 ms /   949 tokens
1.14.906.509 I slot print_timing: id  0 | task 552 |    graphs reused =        656
1.14.906.949 I slot      release: id  0 | task 552 | stop processing: n_tokens = 2527, truncated = 0
1.15.055.644 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.141 (> 0.100 thold), f_keep = 1.000
1.15.056.158 I slot launch_slot_: id  0 | task 671 | processing task, is_child = 0
1.18.170.762 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   1536, progress = 0.23, t =   3.11 s / 493.17 tokens per second
1.19.310.390 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   2048, progress = 0.25, t =   4.25 s / 481.41 tokens per second
1.20.459.058 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   2560, progress = 0.28, t =   5.40 s / 473.83 tokens per second
1.21.612.717 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   3072, progress = 0.31, t =   6.56 s / 468.54 tokens per second
1.22.774.809 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   3584, progress = 0.34, t =   7.72 s / 464.33 tokens per second
1.23.947.275 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.89 s / 460.69 tokens per second
1.25.126.236 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   4608, progress = 0.40, t =  10.07 s / 457.60 tokens per second
1.26.312.309 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   5120, progress = 0.43, t =  11.26 s / 454.87 tokens per second
1.27.505.323 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   5632, progress = 0.45, t =  12.45 s / 452.40 tokens per second
1.28.702.102 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   6144, progress = 0.48, t =  13.65 s / 450.25 tokens per second
1.29.905.795 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   6656, progress = 0.51, t =  14.85 s / 448.23 tokens per second
1.31.114.805 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   7168, progress = 0.54, t =  16.06 s / 446.37 tokens per second
1.32.332.581 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   7680, progress = 0.57, t =  17.28 s / 444.54 tokens per second
1.33.559.364 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   8192, progress = 0.60, t =  18.50 s / 442.74 tokens per second
1.34.793.615 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   8704, progress = 0.62, t =  19.74 s / 440.99 tokens per second
1.36.033.773 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   9216, progress = 0.65, t =  20.98 s / 439.33 tokens per second
1.37.281.337 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =   9728, progress = 0.68, t =  22.23 s / 437.70 tokens per second
1.38.541.391 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =  10240, progress = 0.71, t =  23.49 s / 436.02 tokens per second
1.39.805.269 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =  10752, progress = 0.74, t =  24.75 s / 434.44 tokens per second
1.41.077.022 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =  11264, progress = 0.77, t =  26.02 s / 432.88 tokens per second
1.42.355.205 I slot print_timing: id  0 | task 671 | prompt processing, n_tokens =  11776, progress = 0.80, t =  27.30 s / 431.37 tokens per second
