0.00.001.456 I srv  llama_server: initializing ...
0.00.238.566 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.240.807 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.243.440 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.09.577.698 I cmn          init: llama threadpool init, n_threads = 6
0.09.913.943 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.09.935.322 I srv  llama_server: model loaded
0.09.935.345 I srv  llama_server: listening on http://127.0.0.1:8080
0.09.935.347 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.14.481.059 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.483.410 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.17.655.680 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1495, progress = 0.08, t =   3.17 s / 471.32 tokens per second
0.18.662.501 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2007, progress = 0.10, t =   4.18 s / 480.29 tokens per second
0.19.779.390 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2519, progress = 0.13, t =   5.30 s / 475.67 tokens per second
0.20.899.738 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3031, progress = 0.16, t =   6.42 s / 472.41 tokens per second
0.22.027.167 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3543, progress = 0.18, t =   7.54 s / 469.68 tokens per second
0.23.158.769 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4055, progress = 0.21, t =   8.68 s / 467.43 tokens per second
0.24.296.472 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4567, progress = 0.23, t =   9.81 s / 465.42 tokens per second
0.25.446.870 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5079, progress = 0.26, t =  10.96 s / 463.28 tokens per second
0.26.600.250 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5591, progress = 0.29, t =  12.12 s / 461.44 tokens per second
0.27.761.536 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6103, progress = 0.31, t =  13.28 s / 459.64 tokens per second
0.28.931.001 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6615, progress = 0.34, t =  14.45 s / 457.87 tokens per second
0.30.107.598 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7127, progress = 0.37, t =  15.62 s / 456.16 tokens per second
0.31.292.901 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7639, progress = 0.39, t =  16.81 s / 454.45 tokens per second
0.32.483.693 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8151, progress = 0.42, t =  18.00 s / 452.83 tokens per second
0.33.681.681 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8663, progress = 0.45, t =  19.20 s / 451.25 tokens per second
0.34.885.971 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9175, progress = 0.47, t =  20.40 s / 449.71 tokens per second
0.36.096.896 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9687, progress = 0.50, t =  21.61 s / 448.20 tokens per second
0.37.316.096 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10199, progress = 0.52, t =  22.83 s / 446.69 tokens per second
0.38.543.120 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10711, progress = 0.55, t =  24.06 s / 445.19 tokens per second
0.39.777.470 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11223, progress = 0.58, t =  25.29 s / 443.71 tokens per second
0.41.018.483 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11735, progress = 0.60, t =  26.53 s / 442.25 tokens per second
0.42.267.359 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12247, progress = 0.63, t =  27.78 s / 440.80 tokens per second
0.43.524.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12759, progress = 0.66, t =  29.04 s / 439.34 tokens per second
0.44.785.948 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13271, progress = 0.68, t =  30.30 s / 437.95 tokens per second
0.46.054.401 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13783, progress = 0.71, t =  31.57 s / 436.58 tokens per second
0.47.328.457 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14295, progress = 0.74, t =  32.84 s / 435.23 tokens per second
0.48.611.912 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14807, progress = 0.76, t =  34.13 s / 433.86 tokens per second
0.49.900.768 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15319, progress = 0.79, t =  35.42 s / 432.53 tokens per second
0.51.194.758 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15831, progress = 0.81, t =  36.71 s / 431.23 tokens per second
0.52.495.895 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16343, progress = 0.84, t =  38.01 s / 429.94 tokens per second
0.53.803.451 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16855, progress = 0.87, t =  39.32 s / 428.67 tokens per second
0.55.119.135 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17367, progress = 0.89, t =  40.64 s / 427.39 tokens per second
0.56.442.061 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17879, progress = 0.92, t =  41.96 s / 426.11 tokens per second
0.57.775.049 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18391, progress = 0.95, t =  43.29 s / 424.82 tokens per second
0.59.113.276 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18903, progress = 0.97, t =  44.63 s / 423.55 tokens per second
1.00.480.168 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19310, progress = 0.99, t =  46.00 s / 419.82 tokens per second
1.00.599.297 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19333, progress = 0.99, t =  46.12 s / 419.23 tokens per second
1.00.785.880 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19381, progress = 1.00, t =  46.30 s / 418.58 tokens per second
1.00.983.129 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19438, progress = 1.00, t =  46.50 s / 418.03 tokens per second
1.09.673.917 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  11.76 t/s, tg_3s =  11.87 t/s
1.12.712.501 I slot print_timing: id  0 | task 1 | n_gen =    136, tg =  11.78 t/s, tg_3s =  11.85 t/s
1.15.764.678 I slot print_timing: id  0 | task 1 | n_gen =    172, tg =  11.78 t/s, tg_3s =  11.79 t/s
1.18.813.833 I slot print_timing: id  0 | task 1 | n_gen =    208, tg =  11.79 t/s, tg_3s =  11.81 t/s
1.21.865.188 I slot print_timing: id  0 | task 1 | n_gen =    244, tg =  11.79 t/s, tg_3s =  11.80 t/s
1.24.938.004 I slot print_timing: id  0 | task 1 | n_gen =    280, tg =  11.78 t/s, tg_3s =  11.72 t/s
1.27.987.007 I slot print_timing: id  0 | task 1 | n_gen =    316, tg =  11.78 t/s, tg_3s =  11.81 t/s
1.31.037.802 I slot print_timing: id  0 | task 1 | n_gen =    352, tg =  11.78 t/s, tg_3s =  11.80 t/s
1.34.099.940 I slot print_timing: id  0 | task 1 | n_gen =    388, tg =  11.78 t/s, tg_3s =  11.76 t/s
1.37.160.280 I slot print_timing: id  0 | task 1 | n_gen =    424, tg =  11.78 t/s, tg_3s =  11.76 t/s
1.40.227.237 I slot print_timing: id  0 | task 1 | n_gen =    460, tg =  11.78 t/s, tg_3s =  11.74 t/s
1.43.294.340 I slot print_timing: id  0 | task 1 | n_gen =    496, tg =  11.77 t/s, tg_3s =  11.74 t/s
1.46.295.398 I slot print_timing: id  0 | task 1 | n_gen =    531, tg =  11.77 t/s, tg_3s =  11.66 t/s
1.49.371.872 I slot print_timing: id  0 | task 1 | n_gen =    567, tg =  11.76 t/s, tg_3s =  11.70 t/s
1.52.442.593 I slot print_timing: id  0 | task 1 | n_gen =    603, tg =  11.76 t/s, tg_3s =  11.72 t/s
1.55.505.829 I slot print_timing: id  0 | task 1 | n_gen =    639, tg =  11.76 t/s, tg_3s =  11.75 t/s
1.58.572.201 I slot print_timing: id  0 | task 1 | n_gen =    675, tg =  11.76 t/s, tg_3s =  11.74 t/s
2.01.633.256 I slot print_timing: id  0 | task 1 | n_gen =    711, tg =  11.76 t/s, tg_3s =  11.76 t/s
2.04.690.886 I slot print_timing: id  0 | task 1 | n_gen =    747, tg =  11.76 t/s, tg_3s =  11.77 t/s
2.07.754.023 I slot print_timing: id  0 | task 1 | n_gen =    783, tg =  11.76 t/s, tg_3s =  11.75 t/s
2.10.754.871 I slot print_timing: id  0 | task 1 | n_gen =    818, tg =  11.75 t/s, tg_3s =  11.66 t/s
2.13.822.598 I slot print_timing: id  0 | task 1 | n_gen =    854, tg =  11.75 t/s, tg_3s =  11.74 t/s
2.16.892.037 I slot print_timing: id  0 | task 1 | n_gen =    890, tg =  11.75 t/s, tg_3s =  11.73 t/s
2.19.959.328 I slot print_timing: id  0 | task 1 | n_gen =    926, tg =  11.75 t/s, tg_3s =  11.74 t/s
2.23.033.591 I slot print_timing: id  0 | task 1 | n_gen =    962, tg =  11.75 t/s, tg_3s =  11.71 t/s
2.26.107.650 I slot print_timing: id  0 | task 1 | n_gen =    998, tg =  11.75 t/s, tg_3s =  11.71 t/s
2.29.181.810 I slot print_timing: id  0 | task 1 | n_gen =   1034, tg =  11.75 t/s, tg_3s =  11.71 t/s
2.32.191.553 I slot print_timing: id  0 | task 1 | n_gen =   1069, tg =  11.74 t/s, tg_3s =  11.63 t/s
2.35.276.276 I slot print_timing: id  0 | task 1 | n_gen =   1105, tg =  11.74 t/s, tg_3s =  11.67 t/s
2.38.352.105 I slot print_timing: id  0 | task 1 | n_gen =   1141, tg =  11.74 t/s, tg_3s =  11.70 t/s
2.41.427.136 I slot print_timing: id  0 | task 1 | n_gen =   1177, tg =  11.74 t/s, tg_3s =  11.71 t/s
2.44.430.354 I slot print_timing: id  0 | task 1 | n_gen =   1212, tg =  11.74 t/s, tg_3s =  11.65 t/s
2.47.431.631 I slot print_timing: id  0 | task 1 | n_gen =   1247, tg =  11.73 t/s, tg_3s =  11.66 t/s
2.50.512.722 I slot print_timing: id  0 | task 1 | n_gen =   1283, tg =  11.73 t/s, tg_3s =  11.68 t/s
2.53.535.217 I slot print_timing: id  0 | task 1 | n_gen =   1318, tg =  11.73 t/s, tg_3s =  11.58 t/s
2.56.546.250 I slot print_timing: id  0 | task 1 | n_gen =   1353, tg =  11.73 t/s, tg_3s =  11.62 t/s
2.59.551.995 I slot print_timing: id  0 | task 1 | n_gen =   1388, tg =  11.72 t/s, tg_3s =  11.64 t/s
3.02.637.891 I slot print_timing: id  0 | task 1 | n_gen =   1424, tg =  11.72 t/s, tg_3s =  11.67 t/s
3.04.784.251 I slot print_timing: id  0 | task 1 | prompt eval time =   46768.74 ms / 19442 tokens (    2.41 ms per token,   415.71 tokens per second)
3.04.784.262 I slot print_timing: id  0 | task 1 |        eval time =  123531.77 ms /  1449 tokens (   85.31 ms per token,    11.72 tokens per second)
3.04.784.265 I slot print_timing: id  0 | task 1 |       total time =  170300.51 ms / 20891 tokens
3.04.784.275 I slot print_timing: id  0 | task 1 |    graphs reused =       1516
3.04.786.311 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20890, truncated = 0
3.04.990.544 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
3.04.991.083 I slot launch_slot_: id  0 | task 1492 | processing task, is_child = 0
3.14.024.132 I slot print_timing: id  0 | task 1492 | n_gen =    100, tg =  11.60 t/s, tg_3s =  11.71 t/s
3.17.049.911 I slot print_timing: id  0 | task 1492 | n_gen =    134, tg =  11.50 t/s, tg_3s =  11.24 t/s
3.20.074.928 I slot print_timing: id  0 | task 1492 | n_gen =    169, tg =  11.52 t/s, tg_3s =  11.57 t/s
3.21.709.974 I slot print_timing: id  0 | task 1492 | prompt eval time =     495.49 ms /   107 tokens (    4.63 ms per token,   215.95 tokens per second)
3.21.709.986 I slot print_timing: id  0 | task 1492 |        eval time =   16223.33 ms /   188 tokens (   86.76 ms per token,    11.53 tokens per second)
3.21.709.989 I slot print_timing: id  0 | task 1492 |       total time =   16718.82 ms /   295 tokens
3.21.709.992 I slot print_timing: id  0 | task 1492 |    graphs reused =       1702
3.21.712.277 I slot      release: id  0 | task 1492 | stop processing: n_tokens = 21184, truncated = 0
3.21.892.806 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.997
3.21.893.789 I slot launch_slot_: id  0 | task 1682 | processing task, is_child = 0
3.31.637.733 I slot print_timing: id  0 | task 1682 | n_gen =    100, tg =  11.56 t/s, tg_3s =  11.67 t/s
3.34.650.779 I slot print_timing: id  0 | task 1682 | n_gen =    134, tg =  11.49 t/s, tg_3s =  11.28 t/s
3.37.699.598 I slot print_timing: id  0 | task 1682 | n_gen =    169, tg =  11.48 t/s, tg_3s =  11.48 t/s
3.38.563.345 I slot print_timing: id  0 | task 1682 | prompt eval time =    1177.31 ms /   376 tokens (    3.13 ms per token,   319.37 tokens per second)
3.38.563.358 I slot print_timing: id  0 | task 1682 |        eval time =   15492.17 ms /   179 tokens (   87.03 ms per token,    11.49 tokens per second)
3.38.563.360 I slot print_timing: id  0 | task 1682 |       total time =   16669.48 ms /   555 tokens
3.38.563.363 I slot print_timing: id  0 | task 1682 |    graphs reused =       1878
3.38.565.630 I slot      release: id  0 | task 1682 | stop processing: n_tokens = 21547, truncated = 0
3.38.743.633 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.997
3.38.744.629 I slot launch_slot_: id  0 | task 1864 | processing task, is_child = 0
3.48.546.266 I slot print_timing: id  0 | task 1864 | n_gen =    100, tg =  11.49 t/s, tg_3s =  11.61 t/s
3.51.592.463 I slot print_timing: id  0 | task 1864 | n_gen =    135, tg =  11.49 t/s, tg_3s =  11.49 t/s
3.54.642.065 I slot print_timing: id  0 | task 1864 | n_gen =    170, tg =  11.49 t/s, tg_3s =  11.48 t/s
3.56.644.433 I slot print_timing: id  0 | task 1864 | prompt eval time =    1188.05 ms /   378 tokens (    3.14 ms per token,   318.17 tokens per second)
3.56.644.446 I slot print_timing: id  0 | task 1864 |        eval time =   16711.67 ms /   193 tokens (   87.04 ms per token,    11.49 tokens per second)
3.56.644.449 I slot print_timing: id  0 | task 1864 |       total time =   17899.72 ms /   571 tokens
3.56.644.452 I slot print_timing: id  0 | task 1864 |    graphs reused =       2068
3.56.646.700 I slot      release: id  0 | task 1864 | stop processing: n_tokens = 21935, truncated = 0
3.56.840.474 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
3.56.841.055 I slot launch_slot_: id  0 | task 2060 | processing task, is_child = 0
4.05.815.815 I slot print_timing: id  0 | task 2060 | n_gen =    100, tg =  11.42 t/s, tg_3s =  11.54 t/s
4.08.877.061 I slot print_timing: id  0 | task 2060 | n_gen =    135, tg =  11.42 t/s, tg_3s =  11.43 t/s
4.11.763.272 I slot print_timing: id  0 | task 2060 | prompt eval time =     305.52 ms /    26 tokens (   11.75 ms per token,    85.10 tokens per second)
4.11.763.287 I slot print_timing: id  0 | task 2060 |        eval time =   14616.63 ms /   168 tokens (   87.52 ms per token,    11.43 tokens per second)
4.11.763.290 I slot print_timing: id  0 | task 2060 |       total time =   14922.15 ms /   194 tokens
4.11.763.292 I slot print_timing: id  0 | task 2060 |    graphs reused =       2233
4.11.765.587 I slot      release: id  0 | task 2060 | stop processing: n_tokens = 22128, truncated = 0
4.11.942.926 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
4.11.943.947 I slot launch_slot_: id  0 | task 2230 | processing task, is_child = 0
4.20.946.599 I slot print_timing: id  0 | task 2230 | n_gen =    100, tg =  11.43 t/s, tg_3s =  11.54 t/s
4.23.948.266 I slot print_timing: id  0 | task 2230 | n_gen =    134, tg =  11.40 t/s, tg_3s =  11.33 t/s
4.27.021.078 I slot print_timing: id  0 | task 2230 | n_gen =    169, tg =  11.40 t/s, tg_3s =  11.39 t/s
4.30.094.873 I slot print_timing: id  0 | task 2230 | n_gen =    204, tg =  11.40 t/s, tg_3s =  11.39 t/s
4.33.163.488 I slot print_timing: id  0 | task 2230 | n_gen =    239, tg =  11.40 t/s, tg_3s =  11.41 t/s
4.36.230.663 I slot print_timing: id  0 | task 2230 | n_gen =    274, tg =  11.40 t/s, tg_3s =  11.41 t/s
4.39.296.370 I slot print_timing: id  0 | task 2230 | n_gen =    309, tg =  11.40 t/s, tg_3s =  11.42 t/s
4.42.366.791 I slot print_timing: id  0 | task 2230 | n_gen =    344, tg =  11.40 t/s, tg_3s =  11.40 t/s
4.45.372.797 I slot print_timing: id  0 | task 2230 | n_gen =    378, tg =  11.39 t/s, tg_3s =  11.31 t/s
4.48.452.184 I slot print_timing: id  0 | task 2230 | n_gen =    413, tg =  11.39 t/s, tg_3s =  11.37 t/s
