0.00.003.157 I srv  llama_server: initializing ...
0.00.859.820 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.866.085 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.871.382 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.57.502.454 I cmn          init: llama threadpool init, n_threads = 6
0.58.148.835 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.58.196.751 I srv  llama_server: model loaded
0.58.196.776 I srv  llama_server: listening on http://127.0.0.1:8080
0.58.196.778 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.04.143.338 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.04.145.154 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.08.366.066 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1495, progress = 0.16, t =   4.22 s / 354.20 tokens per second
1.09.714.458 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2007, progress = 0.21, t =   5.57 s / 360.38 tokens per second
1.11.198.089 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2519, progress = 0.27, t =   7.05 s / 357.16 tokens per second
1.12.688.001 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3031, progress = 0.32, t =   8.54 s / 354.80 tokens per second
1.14.182.058 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3543, progress = 0.37, t =  10.04 s / 353.00 tokens per second
1.15.684.003 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4055, progress = 0.43, t =  11.54 s / 351.42 tokens per second
1.17.190.923 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4567, progress = 0.48, t =  13.05 s / 350.08 tokens per second
1.18.704.056 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5079, progress = 0.54, t =  14.56 s / 348.86 tokens per second
1.20.226.322 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5591, progress = 0.59, t =  16.08 s / 347.68 tokens per second
1.21.756.742 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6103, progress = 0.64, t =  17.61 s / 346.54 tokens per second
1.23.296.987 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6615, progress = 0.70, t =  19.15 s / 345.40 tokens per second
1.24.844.171 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7127, progress = 0.75, t =  20.70 s / 344.32 tokens per second
1.26.399.279 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7639, progress = 0.81, t =  22.25 s / 343.26 tokens per second
1.27.958.660 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8151, progress = 0.86, t =  23.81 s / 342.29 tokens per second
1.29.522.573 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8663, progress = 0.91, t =  25.38 s / 341.37 tokens per second
1.31.094.995 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9175, progress = 0.97, t =  26.95 s / 340.45 tokens per second
1.31.919.583 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9337, progress = 0.99, t =  27.77 s / 336.17 tokens per second
1.32.126.469 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9399, progress = 0.99, t =  27.98 s / 335.90 tokens per second
1.32.371.553 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9465, progress = 1.00, t =  28.23 s / 335.33 tokens per second
1.40.326.914 I slot print_timing: id  0 | task 1 | prompt eval time =   28597.05 ms /  9469 tokens (    3.02 ms per token,   331.12 tokens per second)
1.40.326.929 I slot print_timing: id  0 | task 1 |        eval time =    7584.61 ms /    81 tokens (   94.81 ms per token,    10.55 tokens per second)
1.40.326.933 I slot print_timing: id  0 | task 1 |       total time =   36181.66 ms /  9550 tokens
1.40.326.943 I slot print_timing: id  0 | task 1 |    graphs reused =        113
1.40.328.131 I slot      release: id  0 | task 1 | stop processing: n_tokens = 9549, truncated = 0
1.40.540.142 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.961 (> 0.100 thold), f_keep = 1.000
1.40.541.985 I slot launch_slot_: id  0 | task 104 | processing task, is_child = 0
