0.00.003.176 I srv  llama_server: initializing ...
0.00.838.611 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.843.787 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.848.636 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.57.476.088 I cmn          init: llama threadpool init, n_threads = 6
0.58.117.515 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.58.168.167 I srv  llama_server: model loaded
0.58.168.198 I srv  llama_server: listening on http://127.0.0.1:8080
0.58.168.204 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.08.988.948 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.08.992.904 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.13.163.999 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1428, progress = 0.92, t =   4.17 s / 342.36 tokens per second
1.13.339.202 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1495, progress = 0.96, t =   4.35 s / 343.98 tokens per second
1.13.582.280 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1556, progress = 1.00, t =   4.59 s / 339.05 tokens per second
1.22.279.460 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  11.81 t/s, tg_3s =  11.93 t/s
1.22.530.147 I slot print_timing: id  0 | task 1 | prompt eval time =    4906.34 ms /  1560 tokens (    3.15 ms per token,   317.96 tokens per second)
1.22.530.158 I slot print_timing: id  0 | task 1 |        eval time =    8630.82 ms /   103 tokens (   84.62 ms per token,    11.82 tokens per second)
1.22.530.161 I slot print_timing: id  0 | task 1 |       total time =   13537.16 ms /  1663 tokens
1.22.530.173 I slot print_timing: id  0 | task 1 |    graphs reused =        106
1.22.530.614 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1662, truncated = 0
1.23.117.801 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.695 (> 0.100 thold), f_keep = 1.000
1.23.118.598 I slot launch_slot_: id  0 | task 110 | processing task, is_child = 0
1.33.898.516 I slot print_timing: id  0 | task 110 | n_gen =    100, tg =  11.70 t/s, tg_3s =  11.81 t/s
1.35.689.221 I slot print_timing: id  0 | task 110 | prompt eval time =    2315.98 ms /   731 tokens (    3.17 ms per token,   315.63 tokens per second)
1.35.689.234 I slot print_timing: id  0 | task 110 |        eval time =   10254.57 ms /   121 tokens (   85.45 ms per token,    11.70 tokens per second)
1.35.689.237 I slot print_timing: id  0 | task 110 |       total time =   12570.55 ms /   852 tokens
1.35.689.240 I slot print_timing: id  0 | task 110 |    graphs reused =        226
1.35.689.701 I slot      release: id  0 | task 110 | stop processing: n_tokens = 2513, truncated = 0
1.35.791.565 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.546 (> 0.100 thold), f_keep = 1.000
1.35.792.216 I slot launch_slot_: id  0 | task 235 | processing task, is_child = 0
1.39.923.565 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   1536, progress = 0.88, t =   4.13 s / 371.80 tokens per second
1.41.471.207 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   1961, progress = 0.97, t =   5.68 s / 345.31 tokens per second
1.41.728.106 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   2089, progress = 1.00, t =   5.94 s / 351.93 tokens per second
