0.00.003.212 I srv  llama_server: initializing ...
0.00.869.738 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.876.160 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.881.840 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-1.7B-Q8_0.gguf'
0.21.349.160 I cmn          init: llama threadpool init, n_threads = 6
0.21.684.631 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.21.755.148 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.21.755.290 I srv  llama_server: model loaded
0.21.755.311 I srv  llama_server: listening on http://127.0.0.1:8080
0.21.755.312 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.31.369.341 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.370.051 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.35.786.008 I slot print_timing: id  0 | task 0 | prompt eval time =    1230.49 ms /  1425 tokens (    0.86 ms per token,  1158.07 tokens per second)
0.35.786.021 I slot print_timing: id  0 | task 0 |        eval time =    3185.35 ms /    85 tokens (   37.92 ms per token,    26.37 tokens per second)
0.35.786.025 I slot print_timing: id  0 | task 0 |       total time =    4415.84 ms /  1510 tokens
0.35.786.036 I slot print_timing: id  0 | task 0 |    graphs reused =         89
0.35.786.357 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1509, truncated = 0
0.36.425.353 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.766 (> 0.100 thold), f_keep = 1.000
0.36.426.926 I slot launch_slot_: id  0 | task 91 | processing task, is_child = 0
0.40.584.846 I slot print_timing: id  0 | task 91 | n_gen =    100, tg =  26.42 t/s, tg_3s =  26.68 t/s
0.43.604.747 I slot print_timing: id  0 | task 91 | prompt eval time =     410.27 ms /   461 tokens (    0.89 ms per token,  1123.64 tokens per second)
0.43.604.758 I slot print_timing: id  0 | task 91 |        eval time =    6767.46 ms /   180 tokens (   37.81 ms per token,    26.45 tokens per second)
0.43.604.761 I slot print_timing: id  0 | task 91 |       total time =    7177.73 ms /   641 tokens
0.43.604.764 I slot print_timing: id  0 | task 91 |    graphs reused =        267
0.43.605.120 I slot      release: id  0 | task 91 | stop processing: n_tokens = 2149, truncated = 0
0.43.743.738 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.614 (> 0.100 thold), f_keep = 0.947
0.43.744.279 I slot launch_slot_: id  0 | task 274 | processing task, is_child = 0
0.48.479.213 I slot print_timing: id  0 | task 274 | n_gen =    100, tg =  26.00 t/s, tg_3s =  26.26 t/s
0.51.500.191 I slot print_timing: id  0 | task 274 | n_gen =    179, tg =  26.06 t/s, tg_3s =  26.15 t/s
0.54.520.629 I slot print_timing: id  0 | task 274 | n_gen =    258, tg =  26.09 t/s, tg_3s =  26.16 t/s
0.57.525.794 I slot print_timing: id  0 | task 274 | n_gen =    337, tg =  26.14 t/s, tg_3s =  26.29 t/s
1.00.543.129 I slot print_timing: id  0 | task 274 | n_gen =    416, tg =  26.15 t/s, tg_3s =  26.18 t/s
1.03.574.094 I slot print_timing: id  0 | task 274 | n_gen =    495, tg =  26.13 t/s, tg_3s =  26.06 t/s
1.06.580.470 I slot print_timing: id  0 | task 274 | n_gen =    573, tg =  26.11 t/s, tg_3s =  25.94 t/s
1.09.611.530 I slot print_timing: id  0 | task 274 | n_gen =    652, tg =  26.10 t/s, tg_3s =  26.06 t/s
1.12.613.015 I slot print_timing: id  0 | task 274 | n_gen =    730, tg =  26.09 t/s, tg_3s =  25.99 t/s
1.15.647.814 I slot print_timing: id  0 | task 274 | n_gen =    808, tg =  26.05 t/s, tg_3s =  25.70 t/s
1.18.677.718 I slot print_timing: id  0 | task 274 | n_gen =    886, tg =  26.02 t/s, tg_3s =  25.74 t/s
1.21.701.539 I slot print_timing: id  0 | task 274 | n_gen =    964, tg =  26.01 t/s, tg_3s =  25.80 t/s
1.24.739.005 I slot print_timing: id  0 | task 274 | n_gen =   1042, tg =  25.98 t/s, tg_3s =  25.68 t/s
1.27.776.042 I slot print_timing: id  0 | task 274 | n_gen =   1120, tg =  25.96 t/s, tg_3s =  25.68 t/s
1.30.807.120 I slot print_timing: id  0 | task 274 | n_gen =   1198, tg =  25.94 t/s, tg_3s =  25.73 t/s
1.33.838.279 I slot print_timing: id  0 | task 274 | n_gen =   1276, tg =  25.93 t/s, tg_3s =  25.73 t/s
1.36.847.338 I slot print_timing: id  0 | task 274 | n_gen =   1353, tg =  25.91 t/s, tg_3s =  25.59 t/s
1.39.852.489 I slot print_timing: id  0 | task 274 | n_gen =   1430, tg =  25.90 t/s, tg_3s =  25.62 t/s
1.42.853.536 I slot print_timing: id  0 | task 274 | n_gen =   1507, tg =  25.88 t/s, tg_3s =  25.66 t/s
1.45.870.685 I slot print_timing: id  0 | task 274 | n_gen =   1584, tg =  25.87 t/s, tg_3s =  25.52 t/s
1.48.882.323 I slot print_timing: id  0 | task 274 | n_gen =   1661, tg =  25.85 t/s, tg_3s =  25.57 t/s
1.51.890.284 I slot print_timing: id  0 | task 274 | n_gen =   1738, tg =  25.84 t/s, tg_3s =  25.60 t/s
1.54.912.992 I slot print_timing: id  0 | task 274 | n_gen =   1815, tg =  25.82 t/s, tg_3s =  25.47 t/s
1.57.931.555 I slot print_timing: id  0 | task 274 | n_gen =   1892, tg =  25.81 t/s, tg_3s =  25.51 t/s
2.00.950.425 I slot print_timing: id  0 | task 274 | n_gen =   1969, tg =  25.80 t/s, tg_3s =  25.51 t/s
2.03.970.401 I slot print_timing: id  0 | task 274 | n_gen =   2046, tg =  25.79 t/s, tg_3s =  25.50 t/s
2.07.008.855 I slot print_timing: id  0 | task 274 | n_gen =   2123, tg =  25.77 t/s, tg_3s =  25.34 t/s
2.10.036.219 I slot print_timing: id  0 | task 274 | n_gen =   2200, tg =  25.76 t/s, tg_3s =  25.43 t/s
2.13.061.860 I slot print_timing: id  0 | task 274 | n_gen =   2277, tg =  25.75 t/s, tg_3s =  25.45 t/s
2.16.065.621 I slot print_timing: id  0 | task 274 | n_gen =   2353, tg =  25.73 t/s, tg_3s =  25.30 t/s
2.19.102.519 I slot print_timing: id  0 | task 274 | n_gen =   2430, tg =  25.72 t/s, tg_3s =  25.35 t/s
2.22.136.985 I slot print_timing: id  0 | task 274 | n_gen =   2507, tg =  25.71 t/s, tg_3s =  25.38 t/s
2.25.143.346 I slot print_timing: id  0 | task 274 | n_gen =   2583, tg =  25.70 t/s, tg_3s =  25.28 t/s
2.28.147.771 I slot print_timing: id  0 | task 274 | n_gen =   2659, tg =  25.69 t/s, tg_3s =  25.30 t/s
2.31.147.814 I slot print_timing: id  0 | task 274 | n_gen =   2735, tg =  25.68 t/s, tg_3s =  25.33 t/s
2.34.150.363 I slot print_timing: id  0 | task 274 | n_gen =   2811, tg =  25.67 t/s, tg_3s =  25.31 t/s
2.37.169.964 I slot print_timing: id  0 | task 274 | n_gen =   2887, tg =  25.65 t/s, tg_3s =  25.17 t/s
2.40.183.685 I slot print_timing: id  0 | task 274 | n_gen =   2963, tg =  25.64 t/s, tg_3s =  25.22 t/s
2.43.187.459 I slot print_timing: id  0 | task 274 | n_gen =   3039, tg =  25.63 t/s, tg_3s =  25.30 t/s
2.46.205.510 I slot print_timing: id  0 | task 274 | n_gen =   3115, tg =  25.62 t/s, tg_3s =  25.18 t/s
2.49.226.364 I slot print_timing: id  0 | task 274 | n_gen =   3191, tg =  25.61 t/s, tg_3s =  25.16 t/s
2.52.245.978 I slot print_timing: id  0 | task 274 | n_gen =   3267, tg =  25.60 t/s, tg_3s =  25.17 t/s
2.55.277.615 I slot print_timing: id  0 | task 274 | n_gen =   3343, tg =  25.59 t/s, tg_3s =  25.07 t/s
2.58.302.559 I slot print_timing: id  0 | task 274 | n_gen =   3419, tg =  25.58 t/s, tg_3s =  25.12 t/s
3.01.325.857 I slot print_timing: id  0 | task 274 | n_gen =   3495, tg =  25.57 t/s, tg_3s =  25.14 t/s
3.04.354.715 I slot print_timing: id  0 | task 274 | n_gen =   3571, tg =  25.56 t/s, tg_3s =  25.09 t/s
3.07.357.037 I slot print_timing: id  0 | task 274 | n_gen =   3646, tg =  25.55 t/s, tg_3s =  24.98 t/s
3.10.386.323 I slot print_timing: id  0 | task 274 | n_gen =   3722, tg =  25.54 t/s, tg_3s =  25.09 t/s
