0.00.003.298 I srv  llama_server: initializing ...
0.00.852.606 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.859.889 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.865.145 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q4_K_M.gguf'
0.29.304.160 I cmn          init: llama threadpool init, n_threads = 6
0.29.757.943 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.29.830.377 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.29.830.496 I srv  llama_server: model loaded
0.29.830.516 I srv  llama_server: listening on http://127.0.0.1:8080
0.29.830.517 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.39.706.575 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.39.707.712 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.47.085.324 I slot print_timing: id  0 | task 0 | prompt eval time =    2714.80 ms /  1433 tokens (    1.89 ms per token,   527.85 tokens per second)
0.47.085.340 I slot print_timing: id  0 | task 0 |        eval time =    4662.68 ms /    70 tokens (   67.58 ms per token,    14.80 tokens per second)
0.47.085.343 I slot print_timing: id  0 | task 0 |       total time =    7377.48 ms /  1503 tokens
0.47.085.353 I slot print_timing: id  0 | task 0 |    graphs reused =         74
0.47.085.720 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1502, truncated = 0
0.47.236.760 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.959 (> 0.100 thold), f_keep = 1.000
0.47.237.720 I slot launch_slot_: id  0 | task 76 | processing task, is_child = 0
0.54.186.013 I slot print_timing: id  0 | task 76 | n_gen =    100, tg =  14.75 t/s, tg_3s =  14.90 t/s
0.57.227.192 I slot print_timing: id  0 | task 76 | n_gen =    145, tg =  14.76 t/s, tg_3s =  14.80 t/s
