0.00.003.211 I srv  llama_server: initializing ...
0.00.860.827 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.866.820 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.871.931 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.51.560.212 I cmn          init: llama threadpool init, n_threads = 6
0.52.062.552 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.52.161.821 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.52.162.041 I srv  llama_server: model loaded
0.52.162.062 I srv  llama_server: listening on http://127.0.0.1:8080
0.52.162.064 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.02.916.722 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.02.918.567 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.09.966.350 I slot print_timing: id  0 | task 0 | prompt eval time =    2588.91 ms /  1427 tokens (    1.81 ms per token,   551.20 tokens per second)
1.09.966.364 I slot print_timing: id  0 | task 0 |        eval time =    4458.76 ms /    58 tokens (   78.22 ms per token,    12.78 tokens per second)
1.09.966.367 I slot print_timing: id  0 | task 0 |       total time =    7047.67 ms /  1485 tokens
1.09.966.378 I slot print_timing: id  0 | task 0 |    graphs reused =         62
1.09.966.733 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1484, truncated = 0
1.10.117.281 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.870 (> 0.100 thold), f_keep = 1.000
1.10.118.223 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
1.17.714.451 I slot print_timing: id  0 | task 64 | prompt eval time =     484.83 ms /   222 tokens (    2.18 ms per token,   457.89 tokens per second)
1.17.714.467 I slot print_timing: id  0 | task 64 |        eval time =    7111.31 ms /    92 tokens (   78.15 ms per token,    12.80 tokens per second)
1.17.714.469 I slot print_timing: id  0 | task 64 |       total time =    7596.14 ms /   314 tokens
1.17.714.472 I slot print_timing: id  0 | task 64 |    graphs reused =        151
1.17.714.841 I slot      release: id  0 | task 64 | stop processing: n_tokens = 1797, truncated = 0
1.17.845.930 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.698 (> 0.100 thold), f_keep = 1.000
1.17.846.871 I slot launch_slot_: id  0 | task 159 | processing task, is_child = 0
1.27.102.449 I slot print_timing: id  0 | task 159 | n_gen =    100, tg =  12.67 t/s, tg_3s =  12.80 t/s
1.30.181.718 I slot print_timing: id  0 | task 159 | n_gen =    139, tg =  12.67 t/s, tg_3s =  12.67 t/s
1.33.257.262 I slot print_timing: id  0 | task 159 | n_gen =    178, tg =  12.67 t/s, tg_3s =  12.68 t/s
1.36.331.016 I slot print_timing: id  0 | task 159 | n_gen =    217, tg =  12.68 t/s, tg_3s =  12.69 t/s
1.39.341.113 I slot print_timing: id  0 | task 159 | n_gen =    255, tg =  12.67 t/s, tg_3s =  12.62 t/s
1.42.417.161 I slot print_timing: id  0 | task 159 | n_gen =    294, tg =  12.67 t/s, tg_3s =  12.68 t/s
1.45.426.440 I slot print_timing: id  0 | task 159 | n_gen =    332, tg =  12.66 t/s, tg_3s =  12.63 t/s
1.48.444.549 I slot print_timing: id  0 | task 159 | n_gen =    370, tg =  12.66 t/s, tg_3s =  12.59 t/s
1.51.455.002 I slot print_timing: id  0 | task 159 | n_gen =    408, tg =  12.65 t/s, tg_3s =  12.62 t/s
1.54.456.422 I slot print_timing: id  0 | task 159 | n_gen =    446, tg =  12.65 t/s, tg_3s =  12.66 t/s
1.57.531.982 I slot print_timing: id  0 | task 159 | n_gen =    485, tg =  12.66 t/s, tg_3s =  12.68 t/s
2.00.554.901 I slot print_timing: id  0 | task 159 | n_gen =    523, tg =  12.65 t/s, tg_3s =  12.57 t/s
2.03.572.444 I slot print_timing: id  0 | task 159 | n_gen =    561, tg =  12.65 t/s, tg_3s =  12.59 t/s
2.06.580.000 I slot print_timing: id  0 | task 159 | n_gen =    599, tg =  12.65 t/s, tg_3s =  12.63 t/s
2.09.588.546 I slot print_timing: id  0 | task 159 | n_gen =    637, tg =  12.64 t/s, tg_3s =  12.63 t/s
2.12.601.354 I slot print_timing: id  0 | task 159 | n_gen =    675, tg =  12.64 t/s, tg_3s =  12.61 t/s
